code,multi_1,multi_2,multi_3
'6929','12','12.13',' '
'693 ','12','12.13',' '
'6941','12','12.13',' '
'6942','12','12.13',' '
'6949','12','12.13',' '
'6995','12','12.13',' '
'6997','12','12.13',' '
'6998','12','12.13',' '
'6999','12','12.13',' '
'7012','12','12.13',' '
'7013','12','12.13',' '
'7014','12','12.13',' '
'7031','12','12.13',' '
'7032','12','12.13',' '
'7033','12','12.13',' '
'704 ','12','12.13',' '
'7061','12','12.13',' '
'7062','12','12.13',' '
'7063','12','12.13',' '
'7064','12','12.13',' '
'7071','12','12.13',' '
'7072','12','12.13',' '
'7073','12','12.13',' '
'7074','12','12.13',' '
'7075','12','12.13',' '
'7076','12','12.13',' '
'7077','12','12.13',' '
'7078','12','12.13',' '
'7079','12','12.13',' '
'7091','12','12.13',' '
'7092','12','12.13',' '
'7093','12','12.13',' '
'7094','12','12.13',' '
'7095','12','12.13',' '
'7101','12','12.13',' '
'7109','12','12.13',' '
'7122','12','12.13',' '
'7123','12','12.13',' '
'7124','12','12.13',' '
'7129','12','12.13',' '
'713 ','12','12.13',' '
'714 ','12','12.13',' '
'715 ','12','12.13',' '
'7161','12','12.13',' '
'7162','12','12.13',' '
'7171','12','12.13',' '
'7172','12','12.13',' '
'7179','12','12.13',' '
'718 ','12','12.13',' '
'719 ','12','12.13',' '
'736 ','13','13.1',' '
'740 ','13','13.2',' '
'741 ','13','13.2',' '
'742 ','13','13.2',' '
'744 ','13','13.2',' '
'7499','13','13.2',' '
'721 ','13','13.3','13.3.1'
'7271','13','13.3','13.3.2'
'7279','13','13.3','13.3.3'
'720 ','13','13.3','13.3.4'
'7221','13','13.3','13.3.4'
'7229','13','13.3','13.3.4'
'7231','13','13.3','13.3.4'
'7239','13','13.3','13.3.4'
'724 ','13','13.3','13.3.4'
'7251','13','13.3','13.3.4'
'7252','13','13.3','13.3.4'
'7253','13','13.3','13.3.4'
'7254','13','13.3','13.3.4'
'726 ','13','13.3','13.3.4'
'728 ','13','13.3','13.3.4'
'729 ','13','13.3','13.3.4'
'733 ','13','13.3','13.3.4'
'7301','13','13.4','13.4.1'
'7309','13','13.4','13.4.2'
'734 ','13','13.5','13.5.2'
'7359','13','13.5','13.5.3'
'731 ','13','13.5','13.5.4'
'7321','13','13.5','13.5.4'
'7322','13','13.5','13.5.4'
'7351','13','13.5','13.5.4'
'738 ','13','13.5','13.5.4'
'7391','13','13.5','13.5.4'
'7392','13','13.5','13.5.4'
'7393','13','13.5','13.5.4'
'7394','13','13.5','13.5.4'
'7399','13','13.5','13.5.4'
'751 ','13','13.6',' '
'7531','13','13.7',' '
'7532','13','13.7',' '
'7533','13','13.7',' '
'7534','13','13.7',' '
'7535','13','13.7',' '
'7538','13','13.7',' '
'7550','13','13.8','13.8.1'
'7551','13','13.8','13.8.1'
'7552','13','13.8','13.8.1'
'7561','13','13.8','13.8.2'
'7562','13','13.8','13.8.3'
'7569','13','13.8','13.8.4'
'6751','13','13.9',' '
'6759','13','13.9',' '
'752 ','13','13.9',' '
'7536','13','13.9',' '
'7537','13','13.9',' '
'754 ','13','13.9',' '
'757 ','13','13.9',' '
'758 ','13','13.9',' '
'7591','13','13.9',' '
'7592','13','13.9',' '
'7593','13','13.9',' '
'7594','13','13.9',' '
'7599','13','13.9',' '
'6662','13','13.10',' '
'6911','13','13.10',' '
'743 ','13','13.10',' '
'7601','14','14.1',' '
'762 ','14','14.1',' '
'7631','14','14.1',' '
'7639','14','14.1',' '
'7760','14','14.1',' '
'7761','14','14.1',' '
'7762','14','14.1',' '
'7763','14','14.1',' '
'7764','14','14.1',' '
'7765','14','14.1',' '
'7766','14','14.1',' '
'7767','14','14.1',' '
'7768','14','14.1',' '
'7769','14','14.1',' '
'7770','14','14.1',' '
'7771','14','14.1',' '
'7772','14','14.1',' '
'7773','14','14.1',' '
'7774','14','14.1',' '
'7775','14','14.1',' '
'7776','14','14.1',' '
'7777','14','14.1',' '
'7778','14','14.1',' '
'7779','14','14.1',' '
'7780','14','14.1',' '
'7781','14','14.1',' '
'7782','14','14.1',' '
'7783','14','14.1',' '
'7784','14','14.1',' '
'7785','14','14.1',' '
'7786','14','14.1',' '
'7787','14','14.1',' '
'7788','14','14.1',' '
'7789','14','14.1',' '
'7751','14','14.2',' '
'7752','14','14.2',' '
'7753','14','14.2',' '
'7754','14','14.2',' '
'7756','14','14.2',' '
'7757','14','14.2',' '
'7758','14','14.2',' '
'7759','14','14.2',' '
'7670','14','14.3','14.3.1'
'7671','14','14.3','14.3.1'
'7672','14','14.3','14.3.1'
'7673','14','14.3','14.3.1'
'7674','14','14.3','14.3.1'
'7675','14','14.3','14.3.1'
'7676','14','14.3','14.3.1'
'7677','14','14.3','14.3.1'
'7678','14','14.3','14.3.1'
'7679','14','14.3','14.3.1'
'7693','14','14.3','14.3.1'
'7694','14','14.3','14.3.1'
'7697','14','14.3','14.3.1'
'7699','14','14.3','14.3.1'
'7853','14','14.3','14.3.2'
'7863','14','14.3','14.3.2'
'7902','14','14.3','14.3.2'
'7912','14','14.3','14.3.2'
'7922','14','14.3','14.3.2'
'7932','14','14.3','14.3.2'
'7942','14','14.3','14.3.2'
'7952','14','14.3','14.3.2'
'7962','14','14.3','14.3.2'
'7972','14','14.3','14.3.2'
'7973','14','14.3','14.3.2'
'7982','14','14.3','14.3.2'
'7983','14','14.3','14.3.2'
'7992','14','14.3','14.3.2'
'7855','14','14.3','14.3.3'
'7865','14','14.3','14.3.3'
'7905','14','14.3','14.3.3'
'7915','14','14.3','14.3.3'
'7925','14','14.3','14.3.3'
'7935','14','14.3','14.3.3'
'7945','14','14.3','14.3.3'
'7955','14','14.3','14.3.3'
'7965','14','14.3','14.3.3'
'7975','14','14.3','14.3.3'
'7985','14','14.3','14.3.3'
'7995','14','14.3','14.3.3'
'7856','14','14.3','14.3.4'
'7857','14','14.3','14.3.4'
'7858','14','14.3','14.3.4'
'7866','14','14.3','14.3.4'
'7867','14','14.3','14.3.4'
'7868','14','14.3','14.3.4'
'7906','14','14.3','14.3.4'
'7907','14','14.3','14.3.4'
'7908','14','14.3','14.3.4'
'7916','14','14.3','14.3.4'
'7917','14','14.3','14.3.4'
'7918','14','14.3','14.3.4'
'7926','14','14.3','14.3.4'
'7927','14','14.3','14.3.4'
'7928','14','14.3','14.3.4'
'7936','14','14.3','14.3.4'
'7937','14','14.3','14.3.4'
'7938','14','14.3','14.3.4'
'7946','14','14.3','14.3.4'
'7956','14','14.3','14.3.4'
'7966','14','14.3','14.3.4'
'7967','14','14.3','14.3.4'
'7968','14','14.3','14.3.4'
'7976','14','14.3','14.3.4'
'7977','14','14.3','14.3.4'
'7978','14','14.3','14.3.4'
'7986','14','14.3','14.3.4'
'7987','14','14.3','14.3.4'
'7988','14','14.3','14.3.4'
'7996','14','14.3','14.3.4'
'7997','14','14.3','14.3.4'
'7998','14','14.3','14.3.4'
'7850','14','14.3','14.3.5'
'7851','14','14.3','14.3.5'
'7852','14','14.3','14.3.5'
'7854','14','14.3','14.3.5'
'7859','14','14.3','14.3.5'
'7860','14','14.3','14.3.5'
'7861','14','14.3','14.3.5'
'7862','14','14.3','14.3.5'
'7864','14','14.3','14.3.5'
'7869','14','14.3','14.3.5'
'7900','14','14.3','14.3.5'
'7901','14','14.3','14.3.5'
'7903','14','14.3','14.3.5'
'7904','14','14.3','14.3.5'
'7909','14','14.3','14.3.5'
'7910','14','14.3','14.3.5'
'7911','14','14.3','14.3.5'
'7913','14','14.3','14.3.5'
'7914','14','14.3','14.3.5'
'7919','14','14.3','14.3.5'
'7920','14','14.3','14.3.5'
'7921','14','14.3','14.3.5'
'7923','14','14.3','14.3.5'
'7924','14','14.3','14.3.5'
'7929','14','14.3','14.3.5'
'7930','14','14.3','14.3.5'
'7931','14','14.3','14.3.5'
'7933','14','14.3','14.3.5'
'7934','14','14.3','14.3.5'
'7939','14','14.3','14.3.5'
'7940','14','14.3','14.3.5'
'7941','14','14.3','14.3.5'
'7949','14','14.3','14.3.5'
'7950','14','14.3','14.3.5'
'7951','14','14.3','14.3.5'
'7959','14','14.3','14.3.5'
'7960','14','14.3','14.3.5'
'7961','14','14.3','14.3.5'
'7963','14','14.3','14.3.5'
'7964','14','14.3','14.3.5'
'7969','14','14.3','14.3.5'
'7970','14','14.3','14.3.5'
'7971','14','14.3','14.3.5'
'7974','14','14.3','14.3.5'
'7979','14','14.3','14.3.5'
'7980','14','14.3','14.3.5'
'7981','14','14.3','14.3.5'
'7984','14','14.3','14.3.5'
'7989','14','14.3','14.3.5'
'7990','14','14.3','14.3.5'
'7991','14','14.3','14.3.5'
'7993','14','14.3','14.3.5'
'7994','14','14.3','14.3.5'
'7999','14','14.3','14.3.5'
'8494','14','14.3','14.3.5'
'8026','14','14.4','14.4.1'
'8020','14','14.4','14.4.2'
'8021','14','14.4','14.4.2'
'8022','14','14.4','14.4.2'
'8023','14','14.4','14.4.2'
'8024','14','14.4','14.4.2'
'8025','14','14.4','14.4.2'
'8027','14','14.4','14.4.2'
'8028','14','14.4','14.4.2'
'8029','14','14.4','14.4.2'
'8145','14','14.4','14.4.2'
'8040','14','14.5',' '
'8041','14','14.5',' '
'8042','14','14.5',' '
'8043','14','14.5',' '
'8044','14','14.5',' '
'8045','14','14.5',' '
'8046','14','14.5',' '
'8047','14','14.5',' '
'8048','14','14.5',' '
'8049','14','14.5',' '
'806 ','14','14.6',' '
'0080','14','14.7','14.7.1'
'0081','14','14.7','14.7.1'
'0082','14','14.7','14.7.1'
'0083','14','14.7','14.7.1'
'0084','14','14.7','14.7.1'
'8141','14','14.7','14.7.1'
'8142','14','14.7','14.7.1'
'8143','14','14.7','14.7.1'
'8144','14','14.7','14.7.1'
'8146','14','14.7','14.7.1'
'8147','14','14.7','14.7.1'
'8154','14','14.7','14.7.1'
'8155','14','14.7','14.7.1'
'0070','14','14.7','14.7.2'
'0071','14','14.7','14.7.2'
'0072','14','14.7','14.7.2'
'0073','14','14.7','14.7.2'
'0074','14','14.7','14.7.2'
'0075','14','14.7','14.7.2'
'0076','14','14.7','14.7.2'
'0077','14','14.7','14.7.2'
'0085','14','14.7','14.7.2'
'0086','14','14.7','14.7.2'
'0087','14','14.7','14.7.2'
'8151','14','14.7','14.7.2'
'8152','14','14.7','14.7.2'
'8153','14','14.7','14.7.2'
'8169','14','14.7','14.7.2'
'8148','14','14.7','14.7.3'
'8149','14','14.7','14.7.3'
'8156','14','14.7','14.7.3'
'8157','14','14.7','14.7.3'
'8159','14','14.7','14.7.3'
'8171','14','14.7','14.7.3'
'8172','14','14.7','14.7.3'
'8173','14','14.7','14.7.3'
'8174','14','14.7','14.7.3'
'8175','14','14.7','14.7.3'
'8179','14','14.7','14.7.3'
'8180','14','14.7','14.7.3'
'8181','14','14.7','14.7.3'
'8182','14','14.7','14.7.3'
'8183','14','14.7','14.7.3'
'8184','14','14.7','14.7.3'
'8185','14','14.7','14.7.3'
'8186','14','14.7','14.7.3'
'8187','14','14.7','14.7.3'
'8188','14','14.7','14.7.3'
'8197','14','14.7','14.7.3'
'8191','14','14.8',' '
'8292','14','14.9',' '
'8293','14','14.9',' '
'8294','14','14.9',' '
'8295','14','14.9',' '
'8296','14','14.9',' '
'8394','14','14.9',' '
'8395','14','14.9',' '
'8396','14','14.9',' '
'8397','14','14.9',' '
'8398','14','14.9',' '
'8411','14','14.10','14.10.1'
'8412','14','14.10','14.10.2'
'8415','14','14.10','14.10.3'
'8417','14','14.10','14.10.4'
'8410','14','14.10','14.10.5'
'8413','14','14.10','14.10.5'
'8414','14','14.10','14.10.5'
'8416','14','14.10','14.10.5'
'8418','14','14.10','14.10.5'
'8419','14','14.10','14.10.5'
'8100','14','14.11',' '
'8101','14','14.11',' '
'8102','14','14.11',' '
'8103','14','14.11',' '
'8104','14','14.11',' '
'8105','14','14.11',' '
'8106','14','14.11',' '
'8107','14','14.11',' '
'8108','14','14.11',' '
'8109','14','14.11',' '
'8130','14','14.11',' '
'8131','14','14.11',' '
'8132','14','14.11',' '
'8133','14','14.11',' '
'8134','14','14.11',' '
'8135','14','14.11',' '
'8136','14','14.11',' '
'8137','14','14.11',' '
'8138','14','14.11',' '
'8139','14','14.11',' '
'8161','14','14.11',' '
'8162','14','14.11',' '
'8163','14','14.11',' '
'8164','14','14.11',' '
'8451','14','14.11',' '
'7611','14','14.12',' '
'7619','14','14.12',' '
'7740','14','14.12',' '
'7741','14','14.12',' '
'7742','14','14.12',' '
'7743','14','14.12',' '
'7744','14','14.12',' '
'7745','14','14.12',' '
'7746','14','14.12',' '
'7747','14','14.12',' '
'7748','14','14.12',' '
'7749','14','14.12',' '
'7880','14','14.12',' '
'7881','14','14.12',' '
'7882','14','14.12',' '
'7883','14','14.12',' '
'7884','14','14.12',' '
'7885','14','14.12',' '
'7886','14','14.12',' '
'7887','14','14.12',' '
'7888','14','14.12',' '
'7889','14','14.12',' '
'8030','14','14.12',' '
'8031','14','14.12',' '
'8032','14','14.12',' '
'8033','14','14.12',' '
'8034','14','14.12',' '
'8035','14','14.12',' '
'8036','14','14.12',' '
'8037','14','14.12',' '
'8038','14','14.12',' '
'8039','14','14.12',' '
'8321','14','14.12',' '
'8329','14','14.12',' '
'8363','14','14.13','14.13.1'
'8361','14','14.13','14.13.2'
'8362','14','14.13','14.13.2'
'8364','14','14.13','14.13.2'
'8365','14','14.13','14.13.2'
'8201','14','14.13','14.13.3'
'8202','14','14.13','14.13.3'
'8203','14','14.13','14.13.3'
'8204','14','14.13','14.13.3'
'8209','14','14.13','14.13.3'
'8211','14','14.13','14.13.3'
'8212','14','14.13','14.13.3'
'8219','14','14.13','14.13.3'
'8221','14','14.13','14.13.3'
'8222','14','14.13','14.13.3'
'8229','14','14.13','14.13.3'
'8231','14','14.13','14.13.3'
'8232','14','14.13','14.13.3'
'8233','14','14.13','14.13.3'
'8234','14','14.13','14.13.3'
'8235','14','14.13','14.13.3'
'8236','14','14.13','14.13.3'
'8239','14','14.13','14.13.3'
'8241','14','14.13','14.13.3'
'8242','14','14.13','14.13.3'
'8243','14','14.13','14.13.3'
'8244','14','14.13','14.13.3'
'8245','14','14.13','14.13.3'
'8246','14','14.13','14.13.3'
'8251','14','14.13','14.13.3'
'8252','14','14.13','14.13.3'
'8253','14','14.13','14.13.3'
'8254','14','14.13','14.13.3'
'8255','14','14.13','14.13.3'
'8256','14','14.13','14.13.3'
'8257','14','14.13','14.13.3'
'8258','14','14.13','14.13.3'
'8259','14','14.13','14.13.3'
'8261','14','14.13','14.13.3'
'8269','14','14.13','14.13.3'
'8271','14','14.13','14.13.3'
'8272','14','14.13','14.13.3'
'8279','14','14.13','14.13.3'
'8281','14','14.13','14.13.3'
'8282','14','14.13','14.13.3'
'8283','14','14.13','14.13.3'
'8284','14','14.13','14.13.3'
'8285','14','14.13','14.13.3'
'8286','14','14.13','14.13.3'
'8289','14','14.13','14.13.3'
'8291','14','14.13','14.13.3'
'8299','14','14.13','14.13.3'
'8301','14','14.13','14.13.3'
'8302','14','14.13','14.13.3'
'8303','14','14.13','14.13.3'
'8309','14','14.13','14.13.3'
'8311','14','14.13','14.13.3'
'8312','14','14.13','14.13.3'
'8313','14','14.13','14.13.3'
'8314','14','14.13','14.13.3'
'8319','14','14.13','14.13.3'
'8331','14','14.13','14.13.3'
'8332','14','14.13','14.13.3'
'8339','14','14.13','14.13.3'
'8341','14','14.13','14.13.3'
'8342','14','14.13','14.13.3'
'8343','14','14.13','14.13.3'
'8344','14','14.13','14.13.3'
'8345','14','14.13','14.13.3'
'8349','14','14.13','14.13.3'
'835 ','14','14.13','14.13.3'
'8371','14','14.13','14.13.3'
'8372','14','14.13','14.13.3'
'8373','14','14.13','14.13.3'
'8374','14','14.13','14.13.3'
'8375','14','14.13','14.13.3'
'8376','14','14.13','14.13.3'
'8377','14','14.13','14.13.3'
'8379','14','14.13','14.13.3'
'8381','14','14.13','14.13.3'
'8382','14','14.13','14.13.3'
'8383','14','14.13','14.13.3'
'8384','14','14.13','14.13.3'
'8385','14','14.13','14.13.3'
'8386','14','14.13','14.13.3'
'8387','14','14.13','14.13.3'
'8388','14','14.13','14.13.3'
'8389','14','14.13','14.13.3'
'8391','14','14.13','14.13.3'
'8392','14','14.13','14.13.3'
'8393','14','14.13','14.13.3'
'8399','14','14.13','14.13.3'
'7700','14','14.14',' '
'7701','14','14.14',' '
'7702','14','14.14',' '
'7703','14','14.14',' '
'7704','14','14.14',' '
'7705','14','14.14',' '
'7706','14','14.14',' '
'7707','14','14.14',' '
'7708','14','14.14',' '
'7709','14','14.14',' '
'7710','14','14.14',' '
'7711','14','14.14',' '
'7712','14','14.14',' '
'7713','14','14.14',' '
'7714','14','14.14',' '
'7715','14','14.14',' '
'7716','14','14.14',' '
'7717','14','14.14',' '
'7718','14','14.14',' '
'7719','14','14.14',' '
'7720','14','14.14',' '
'7721','14','14.14',' '
'7722','14','14.14',' '
'7723','14','14.14',' '
'7724','14','14.14',' '
'7725','14','14.14',' '
'7726','14','14.14',' '
'7727','14','14.14',' '
'7728','14','14.14',' '
'7729','14','14.14',' '
'7730','14','14.14',' '
'7731','14','14.14',' '
'7732','14','14.14',' '
'7733','14','14.14',' '
'7734','14','14.14',' '
'7735','14','14.14',' '
'7736','14','14.14',' '
'7737','14','14.14',' '
'7738','14','14.14',' '
'7739','14','14.14',' '
'7790','14','14.14',' '
'7791','14','14.14',' '
'7792','14','14.14',' '
'7793','14','14.14',' '
'7794','14','14.14',' '
'7795','14','14.14',' '
'7796','14','14.14',' '
'7797','14','14.14',' '
'7798','14','14.14',' '
'7799','14','14.14',' '
'7800','14','14.14',' '
'7801','14','14.14',' '
'7802','14','14.14',' '
'7803','14','14.14',' '
'7804','14','14.14',' '
'7805','14','14.14',' '
'7806','14','14.14',' '
'7807','14','14.14',' '
'7808','14','14.14',' '
'7809','14','14.14',' '
'7810','14','14.14',' '
'7811','14','14.14',' '
'7812','14','14.14',' '
'7813','14','14.14',' '
'7814','14','14.14',' '
'7815','14','14.14',' '
'7816','14','14.14',' '
'7817','14','14.14',' '
'7818','14','14.14',' '
'7819','14','14.14',' '
'7820','14','14.14',' '
'7822','14','14.14',' '
'7823','14','14.14',' '
'7824','14','14.14',' '
'7825','14','14.14',' '
'7827','14','14.14',' '
'7828','14','14.14',' '
'7829','14','14.14',' '
'7830','14','14.14',' '
'7831','14','14.14',' '
'7832','14','14.14',' '
'7833','14','14.14',' '
'7834','14','14.14',' '
'7835','14','14.14',' '
'7837','14','14.14',' '
'7838','14','14.14',' '
'7839','14','14.14',' '
'7840','14','14.14',' '
'7841','14','14.14',' '
'7842','14','14.14',' '
'7843','14','14.14',' '
'7844','14','14.14',' '
'7845','14','14.14',' '
'7846','14','14.14',' '
'7847','14','14.14',' '
'7848','14','14.14',' '
'7849','14','14.14',' '
'7870','14','14.14',' '
'7871','14','14.14',' '
'7872','14','14.14',' '
'7873','14','14.14',' '
'7874','14','14.14',' '
'7875','14','14.14',' '
'7876','14','14.14',' '
'7877','14','14.14',' '
'7878','14','14.14',' '
'7879','14','14.14',' '
'7890','14','14.14',' '
'7891','14','14.14',' '
'7892','14','14.14',' '
'7893','14','14.14',' '
'7894','14','14.14',' '
'7895','14','14.14',' '
'7896','14','14.14',' '
'7897','14','14.14',' '
'7898','14','14.14',' '
'7899','14','14.14',' '
'8165','14','14.14',' '
'8166','14','14.14',' '
'8471','14','14.14',' '
'8472','14','14.14',' '
'8473','14','14.14',' '
'8000','14','14.15',' '
'8001','14','14.15',' '
'8002','14','14.15',' '
'8003','14','14.15',' '
'8004','14','14.15',' '
'8005','14','14.15',' '
'8006','14','14.15',' '
'8007','14','14.15',' '
'8008','14','14.15',' '
'8009','14','14.15',' '
'8010','14','14.15',' '
'8011','14','14.15',' '
'8012','14','14.15',' '
'8013','14','14.15',' '
'8014','14','14.15',' '
'8015','14','14.15',' '
'8016','14','14.15',' '
'8017','14','14.15',' '
'8018','14','14.15',' '
'8019','14','14.15',' '
'8052','14','14.15',' '
'8070','14','14.15',' '
'8071','14','14.15',' '
'8072','14','14.15',' '
'8073','14','14.15',' '
'8074','14','14.15',' '
'8075','14','14.15',' '
'8076','14','14.15',' '
'8077','14','14.15',' '
'8078','14','14.15',' '
'8079','14','14.15',' '
'8080','14','14.15',' '
'8081','14','14.15',' '
'8082','14','14.15',' '
'8083','14','14.15',' '
'8084','14','14.15',' '
'8085','14','14.15',' '
'8086','14','14.15',' '
'8087','14','14.15',' '
'8088','14','14.15',' '
'8089','14','14.15',' '
'8090','14','14.15',' '
'8091','14','14.15',' '
'8092','14','14.15',' '
'8093','14','14.15',' '
'8094','14','14.15',' '
'8095','14','14.15',' '
'8096','14','14.15',' '
'8097','14','14.15',' '
'8098','14','14.15',' '
'8099','14','14.15',' '
'8111','14','14.15',' '
'8112','14','14.15',' '
'8113','14','14.15',' '
'8114','14','14.15',' '
'8115','14','14.15',' '
'8116','14','14.15',' '
'8117','14','14.15',' '
'8118','14','14.15',' '
'8120','14','14.15',' '
'8121','14','14.15',' '
'8122','14','14.15',' '
'8123','14','14.15',' '
'8124','14','14.15',' '
'8125','14','14.15',' '
'8126','14','14.15',' '
'8127','14','14.15',' '
'8128','14','14.15',' '
'8129','14','14.15',' '
'8140','14','14.15',' '
'8193','14','14.15',' '
'8194','14','14.15',' '
'8195','14','14.15',' '
'8196','14','14.15',' '
'8198','14','14.15',' '
'8199','14','14.15',' '
'7695','14','14.16',' '
'7696','14','14.16',' '
'8192','14','14.16',' '
'8441','14','14.16',' '
'8442','14','14.16',' '
'8443','14','14.16',' '
'8445','14','14.16',' '
'8446','14','14.16',' '
'8447','14','14.16',' '
'8452','14','14.16',' '
'8453','14','14.16',' '
'8454','14','14.16',' '
'8455','14','14.16',' '
'8456','14','14.16',' '
'8457','14','14.16',' '
'9711','14','14.16',' '
'9712','14','14.16',' '
'9713','14','14.16',' '
'9714','14','14.16',' '
'9736','14','14.16',' '
'9788','14','14.16',' '
'7609','14','14.17',' '
'7641','14','14.17',' '
'7642','14','14.17',' '
'7643','14','14.17',' '
'7644','14','14.17',' '
'7645','14','14.17',' '
'7646','14','14.17',' '
'765 ','14','14.17',' '
'7661','14','14.17',' '
'7662','14','14.17',' '
'7663','14','14.17',' '
'7664','14','14.17',' '
'7665','14','14.17',' '
'7666','14','14.17',' '
'7667','14','14.17',' '
'7668','14','14.17',' '
'7669','14','14.17',' '
'7691','14','14.17',' '
'7692','14','14.17',' '
'8400','14','14.17',' '
'8401','14','14.17',' '
'8402','14','14.17',' '
'8403','14','14.17',' '
'8404','14','14.17',' '
'8405','14','14.17',' '
'8406','14','14.17',' '
'8407','14','14.17',' '
'8408','14','14.17',' '
'8409','14','14.17',' '
'8421','14','14.17',' '
'8422','14','14.17',' '
'8423','14','14.17',' '
'8424','14','14.17',' '
'8425','14','14.17',' '
'8426','14','14.17',' '
'8427','14','14.17',' '
'8428','14','14.17',' '
'8429','14','14.17',' '
'843 ','14','14.17',' '
'8440','14','14.17',' '
'8444','14','14.17',' '
'8448','14','14.17',' '
'8491','14','14.17',' '
'8492','14','14.17',' '
'8493','14','14.17',' '
'8499','14','14.17',' '
'8511','15','15.1','15.1.1'
'8512','15','15.1','15.1.1'
'8519','15','15.1','15.1.1'
'8520','15','15.1','15.1.2'
'8521','15','15.1','15.1.2'
'8522','15','15.1','15.1.2'
'8523','15','15.1','15.1.2'
'8541','15','15.1','15.1.3'
'8542','15','15.1','15.1.3'
'8543','15','15.1','15.1.3'
'8544','15','15.1','15.1.3'
'8545','15','15.1','15.1.3'
'8546','15','15.1','15.1.3'
'8547','15','15.1','15.1.3'
'8548','15','15.1','15.1.3'
'8604','15','15.2',' '
'8622','15','15.3',' '
'8628','15','15.3',' '
'863 ','15','15.4',' '
'864 ','15','15.4',' '
'8651','15','15.5',' '
'8659','15','15.5',' '
'8660','15','15.6',' '
'8661','15','15.6',' '
'8662','15','15.6',' '
'8663','15','15.6',' '
'8664','15','15.6',' '
'8665','15','15.6',' '
'8666','15','15.6',' '
'8667','15','15.6',' '
'8669','15','15.6',' '
'8670','15','15.6',' '
'8671','15','15.6',' '
'8672','15','15.6',' '
'8673','15','15.6',' '
'8674','15','15.6',' '
'8675','15','15.6',' '
'8611','15','15.7',' '
'8619','15','15.7',' '
'8601','15','15.8','15.8.1'
'8607','15','15.8','15.8.2'
'8627','15','15.8','15.8.3'
'850 ','15','15.8','15.8.4'
'8551','15','15.8','15.8.4'
'8552','15','15.8','15.8.4'
'8581','15','15.8','15.8.4'
'8591','15','15.8','15.8.4'
'8592','15','15.8','15.8.4'
'8602','15','15.8','15.8.4'
'8603','15','15.8','15.8.4'
'8605','15','15.8','15.8.4'
'8609','15','15.8','15.8.4'
'8623','15','15.8','15.8.4'
'8624','15','15.8','15.8.4'
'8626','15','15.8','15.8.4'
'8692','15','15.8','15.8.4'
'8699','15','15.8','15.8.4'
'8532','15','15.9','15.9.1'
'8621','15','15.9','15.9.2'
'8524','15','15.9','15.9.3'
'8525','15','15.9','15.9.3'
'8531','15','15.9','15.9.3'
'8533','15','15.9','15.9.3'
'8534','15','15.9','15.9.3'
'8535','15','15.9','15.9.3'
'8536','15','15.9','15.9.3'
'8550','15','15.9','15.9.3'
'8553','15','15.9','15.9.3'
'8554','15','15.9','15.9.3'
'8555','15','15.9','15.9.3'
'856 ','15','15.9','15.9.3'
'857 ','15','15.9','15.9.3'
'8570','15','15.9','15.9.3'
'8571','15','15.9','15.9.3'
'8572','15','15.9','15.9.3'
'8573','15','15.9','15.9.3'
'8574','15','15.9','15.9.3'
'8575','15','15.9','15.9.3'
'8576','15','15.9','15.9.3'
'8579','15','15.9','15.9.3'
'8582','15','15.9','15.9.3'
'8583','15','15.9','15.9.3'
'8584','15','15.9','15.9.3'
'8585','15','15.9','15.9.3'
'8586','15','15.9','15.9.3'
'8587','15','15.9','15.9.3'
'8589','15','15.9','15.9.3'
'8593','15','15.9','15.9.3'
'8594','15','15.9','15.9.3'
'8595','15','15.9','15.9.3'
'8596','15','15.9','15.9.3'
'8599','15','15.9','15.9.3'
'8606','15','15.9','15.9.3'
'8625','15','15.9','15.9.3'
'8681','15','15.9','15.9.3'
'8682','15','15.9','15.9.3'
'8683','15','15.9','15.9.3'
'8684','15','15.9','15.9.3'
'8685','15','15.9','15.9.3'
'8686','15','15.9','15.9.3'
'8687','15','15.9','15.9.3'
'8689','15','15.9','15.9.3'
'8690','15','15.9','15.9.3'
'8691','15','15.9','15.9.3'
'8693','15','15.9','15.9.3'
'335 ','16','16.1',' '
'3350','16','16.1',' '
'3351','16','16.1',' '
'3352','16','16.1',' '
'336 ','16','16.1',' '
'375 ','16','16.1',' '
'3751','16','16.1',' '
'4194','16','16.1',' '
'4697','16','16.1',' '
'5051','16','16.1',' '
'5059','16','16.1',' '
'5280','16','16.1',' '
'5281','16','16.1',' '
'5282','16','16.1',' '
'5283','16','16.1',' '
'5284','16','16.1',' '
'5285','16','16.1',' '
'5286','16','16.1',' '
'8703','16','16.2','16.2.1'
'8741','16','16.2','16.2.2'
'8801','16','16.2','16.2.3'
'0031','16','16.2','16.2.4'
'8771','16','16.2','16.2.4'
'8838','16','16.2','16.2.4'
'8721','16','16.3',' '
'8736','16','16.4',' '
'8737','16','16.4',' '
'8744','16','16.5',' '
'8753','16','16.6',' '
'8761','16','16.7',' '
'8762','16','16.7',' '
'8764','16','16.8',' '
'8773','16','16.9',' '
'8841','16','16.10',' '
'8842','16','16.11',' '
'8848','16','16.12',' '
'8840','16','16.13',' '
'8843','16','16.13',' '
'8844','16','16.13',' '
'8845','16','16.13',' '
'8846','16','16.13',' '
'8847','16','16.13',' '
'8849','16','16.13',' '
'8850','16','16.13',' '
'8851','16','16.13',' '
'8858','16','16.13',' '
'8860','16','16.13',' '
