code,single,multi_1,multi_2
'009Q4ZZ','1','1','1.1'
'009R00Z','1','1','1.1'
'009R0ZZ','1','1','1.1'
'009R30Z','1','1','1.1'
'009R3ZZ','1','1','1.1'
'009R40Z','1','1','1.1'
'009R4ZZ','1','1','1.1'
'009S00Z','1','1','1.1'
'009S0ZZ','1','1','1.1'
'009S30Z','1','1','1.1'
'009S3ZZ','1','1','1.1'
'009S40Z','1','1','1.1'
'009S4ZZ','1','1','1.1'
'00B00ZZ','1','1','1.1'
'00B03ZZ','1','1','1.1'
'00B04ZZ','1','1','1.1'
'00B10ZZ','1','1','1.1'
'00B13ZZ','1','1','1.1'
'00B14ZZ','1','1','1.1'
'00B20ZZ','1','1','1.1'
'00B23ZZ','1','1','1.1'
'00B24ZZ','1','1','1.1'
'00B60ZZ','1','1','1.1'
'00B63ZZ','1','1','1.1'
'00B64ZZ','1','1','1.1'
'00B70ZZ','1','1','1.1'
'00B73ZZ','1','1','1.1'
'00B74ZZ','1','1','1.1'
'00B80ZZ','1','1','1.1'
'00B83ZZ','1','1','1.1'
'00B84ZZ','1','1','1.1'
'00B90ZZ','1','1','1.1'
'00B93ZZ','1','1','1.1'
'00B94ZZ','1','1','1.1'
'00BA0ZZ','1','1','1.1'
'00BA3ZZ','1','1','1.1'
'00BA4ZZ','1','1','1.1'
'00BB0ZZ','1','1','1.1'
'00BB3ZZ','1','1','1.1'
'00BB4ZZ','1','1','1.1'
'00BC0ZZ','1','1','1.1'
'00BC3ZZ','1','1','1.1'
'00BC4ZZ','1','1','1.1'
'00BD0ZZ','1','1','1.1'
'00BD3ZZ','1','1','1.1'
'00BD4ZZ','1','1','1.1'
'00BF0ZZ','1','1','1.1'
'00BF3ZZ','1','1','1.1'
'00BF4ZZ','1','1','1.1'
'00BG0ZZ','1','1','1.1'
'00BG3ZZ','1','1','1.1'
'00BG4ZZ','1','1','1.1'
'00BH0ZZ','1','1','1.1'
'00BH3ZZ','1','1','1.1'
'00BH4ZZ','1','1','1.1'
'00BJ0ZZ','1','1','1.1'
'00BJ3ZZ','1','1','1.1'
'00BJ4ZZ','1','1','1.1'
'00BK0ZZ','1','1','1.1'
'00BK3ZZ','1','1','1.1'
'00BK4ZZ','1','1','1.1'
'00BL0ZZ','1','1','1.1'
'00BL3ZZ','1','1','1.1'
'00BL4ZZ','1','1','1.1'
'00BM0ZZ','1','1','1.1'
'00BM3ZZ','1','1','1.1'
'00BM4ZZ','1','1','1.1'
'00BN0ZZ','1','1','1.1'
'00BN3ZZ','1','1','1.1'
'00BN4ZZ','1','1','1.1'
'00BP0ZZ','1','1','1.1'
'00BP3ZZ','1','1','1.1'
'00BP4ZZ','1','1','1.1'
'00BQ0ZZ','1','1','1.1'
'00BQ3ZZ','1','1','1.1'
'00BQ4ZZ','1','1','1.1'
'00BR0ZZ','1','1','1.1'
'00BR3ZZ','1','1','1.1'
'00BR4ZZ','1','1','1.1'
'00BS0ZZ','1','1','1.1'
'00BS3ZZ','1','1','1.1'
'00BS4ZZ','1','1','1.1'
'00BT0ZZ','1','1','1.1'
'00BT3ZZ','1','1','1.1'
'00BT4ZZ','1','1','1.1'
'00D10ZZ','1','1','1.1'
'00D13ZZ','1','1','1.1'
'00D14ZZ','1','1','1.1'
'00D20ZZ','1','1','1.1'
'00D23ZZ','1','1','1.1'
'00D24ZZ','1','1','1.1'
'00DF0ZZ','1','1','1.1'
'00DF3ZZ','1','1','1.1'
'00DF4ZZ','1','1','1.1'
'00DG0ZZ','1','1','1.1'
'00DG3ZZ','1','1','1.1'
'00DG4ZZ','1','1','1.1'
'00DH0ZZ','1','1','1.1'
'00DH3ZZ','1','1','1.1'
'00DH4ZZ','1','1','1.1'
'00DJ0ZZ','1','1','1.1'
'00DJ3ZZ','1','1','1.1'
'00DJ4ZZ','1','1','1.1'
'00DK0ZZ','1','1','1.1'
'00DK3ZZ','1','1','1.1'
'00DK4ZZ','1','1','1.1'
'00DL0ZZ','1','1','1.1'
'00DL3ZZ','1','1','1.1'
'00DL4ZZ','1','1','1.1'
'00DM0ZZ','1','1','1.1'
'00DM3ZZ','1','1','1.1'
'00DM4ZZ','1','1','1.1'
'00DN0ZZ','1','1','1.1'
'00DN3ZZ','1','1','1.1'
'00DN4ZZ','1','1','1.1'
'00DP0ZZ','1','1','1.1'
'00DP3ZZ','1','1','1.1'
