code,single,multi_1,multi_2
'0NBF4ZX','159','14','14.12'
'0NBG0ZX','159','14','14.12'
'0NBG3ZX','159','14','14.12'
'0NBG4ZX','159','14','14.12'
'0NBH0ZX','159','14','14.12'
'0NBH3ZX','159','14','14.12'
'0NBH4ZX','159','14','14.12'
'0NBJ0ZX','159','14','14.12'
'0NBJ3ZX','159','14','14.12'
'0NBJ4ZX','159','14','14.12'
'0NBK0ZX','159','14','14.12'
'0NBK3ZX','159','14','14.12'
'0NBK4ZX','159','14','14.12'
'0NBL0ZX','159','14','14.12'
'0NBL3ZX','159','14','14.12'
'0NBL4ZX','159','14','14.12'
'0NBM0ZX','159','14','14.12'
'0NBM3ZX','159','14','14.12'
'0NBM4ZX','159','14','14.12'
'0NBN0ZX','159','14','14.12'
'0NBN3ZX','159','14','14.12'
'0NBN4ZX','159','14','14.12'
'0NBP0ZX','159','14','14.12'
'0NBP3ZX','159','14','14.12'
'0NBP4ZX','159','14','14.12'
'0NBQ0ZX','159','14','14.12'
'0NBQ3ZX','159','14','14.12'
'0NBQ4ZX','159','14','14.12'
'0NBR0ZX','159','14','14.12'
'0NBR3ZX','159','14','14.12'
'0NBR4ZX','159','14','14.12'
'0NBS0ZX','159','14','14.12'
'0NBS3ZX','159','14','14.12'
'0NBS4ZX','159','14','14.12'
'0NBT0ZX','159','14','14.12'
'0NBT3ZX','159','14','14.12'
'0NBT4ZX','159','14','14.12'
'0NBV0ZX','159','14','14.12'
'0NBV3ZX','159','14','14.12'
'0NBV4ZX','159','14','14.12'
'0NBX0ZX','159','14','14.12'
'0NBX3ZX','159','14','14.12'
'0NBX4ZX','159','14','14.12'
'0NJ00ZZ','159','14','14.12'
'0NJ03ZZ','159','14','14.12'
'0NJ04ZZ','159','14','14.12'
'0NJ0XZZ','159','14','14.12'
'0NJB0ZZ','159','14','14.12'
'0NJB3ZZ','159','14','14.12'
'0NJB4ZZ','159','14','14.12'
'0NJBXZZ','159','14','14.12'
'0NJW0ZZ','159','14','14.12'
'0NJW3ZZ','159','14','14.12'
'0NJW4ZZ','159','14','14.12'
'0NJWXZZ','159','14','14.12'
'0P900ZX','159','14','14.12'
'0P903ZX','159','14','14.12'
'0P904ZX','159','14','14.12'
'0P910ZX','159','14','14.12'
'0P913ZX','159','14','14.12'
'0P914ZX','159','14','14.12'
'0P920ZX','159','14','14.12'
'0P923ZX','159','14','14.12'
'0P924ZX','159','14','14.12'
'0P930ZX','159','14','14.12'
'0P933ZX','159','14','14.12'
'0P934ZX','159','14','14.12'
'0P940ZX','159','14','14.12'
'0P943ZX','159','14','14.12'
'0P944ZX','159','14','14.12'
'0P950ZX','159','14','14.12'
'0P953ZX','159','14','14.12'
'0P954ZX','159','14','14.12'
'0P960ZX','159','14','14.12'
'0P963ZX','159','14','14.12'
'0P964ZX','159','14','14.12'
'0P970ZX','159','14','14.12'
'0P973ZX','159','14','14.12'
'0P974ZX','159','14','14.12'
'0P980ZX','159','14','14.12'
'0P983ZX','159','14','14.12'
'0P984ZX','159','14','14.12'
'0P990ZX','159','14','14.12'
'0P993ZX','159','14','14.12'
'0P994ZX','159','14','14.12'
'0P9B0ZX','159','14','14.12'
'0P9B3ZX','159','14','14.12'
'0P9B4ZX','159','14','14.12'
'0P9C0ZX','159','14','14.12'
'0P9C3ZX','159','14','14.12'
'0P9C4ZX','159','14','14.12'
'0P9D0ZX','159','14','14.12'
'0P9D3ZX','159','14','14.12'
'0P9D4ZX','159','14','14.12'
'0P9F0ZX','159','14','14.12'
'0P9F3ZX','159','14','14.12'
'0P9F4ZX','159','14','14.12'
'0P9G0ZX','159','14','14.12'
'0P9G3ZX','159','14','14.12'
'0P9G4ZX','159','14','14.12'
'0P9H0ZX','159','14','14.12'
'0P9H3ZX','159','14','14.12'
'0P9H4ZX','159','14','14.12'
'0P9J0ZX','159','14','14.12'
'0P9J3ZX','159','14','14.12'
'0P9J4ZX','159','14','14.12'
'0P9K0ZX','159','14','14.12'
'0P9K3ZX','159','14','14.12'
'0P9K4ZX','159','14','14.12'
'0P9L0ZX','159','14','14.12'
'0P9L3ZX','159','14','14.12'
'0P9L4ZX','159','14','14.12'
'0P9M0ZX','159','14','14.12'
'0P9M3ZX','159','14','14.12'
'0P9M4ZX','159','14','14.12'
'0P9N0ZX','159','14','14.12'
'0P9N3ZX','159','14','14.12'
'0P9N4ZX','159','14','14.12'
'0P9P0ZX','159','14','14.12'
'0P9P3ZX','159','14','14.12'
'0P9P4ZX','159','14','14.12'
'0P9Q0ZX','159','14','14.12'
'0P9Q3ZX','159','14','14.12'
'0P9Q4ZX','159','14','14.12'
'0P9R0ZX','159','14','14.12'
'0P9R3ZX','159','14','14.12'
'0P9R4ZX','159','14','14.12'
'0P9S0ZX','159','14','14.12'
'0P9S3ZX','159','14','14.12'
'0P9S4ZX','159','14','14.12'
'0P9T0ZX','159','14','14.12'
'0P9T3ZX','159','14','14.12'
'0P9T4ZX','159','14','14.12'
'0P9V0ZX','159','14','14.12'
'0P9V3ZX','159','14','14.12'
'0P9V4ZX','159','14','14.12'
'0PB00ZX','159','14','14.12'
'0PB03ZX','159','14','14.12'
'0PB04ZX','159','14','14.12'
'0PB10ZX','159','14','14.12'
'0PB13ZX','159','14','14.12'
'0PB14ZX','159','14','14.12'
'0PB20ZX','159','14','14.12'
'0PB23ZX','159','14','14.12'
'0PB24ZX','159','14','14.12'
'0PB30ZX','159','14','14.12'
'0PB33ZX','159','14','14.12'
'0PB34ZX','159','14','14.12'
'0PB40ZX','159','14','14.12'
'0PB43ZX','159','14','14.12'
'0PB44ZX','159','14','14.12'
'0PB50ZX','159','14','14.12'
'0PB53ZX','159','14','14.12'
'0PB54ZX','159','14','14.12'
'0PB60ZX','159','14','14.12'
'0PB63ZX','159','14','14.12'
'0PB64ZX','159','14','14.12'
'0PB70ZX','159','14','14.12'
'0PB73ZX','159','14','14.12'
'0PB74ZX','159','14','14.12'
'0PB80ZX','159','14','14.12'
'0PB83ZX','159','14','14.12'
'0PB84ZX','159','14','14.12'
'0PB90ZX','159','14','14.12'
'0PB93ZX','159','14','14.12'
'0PB94ZX','159','14','14.12'
'0PBB0ZX','159','14','14.12'
'0PBB3ZX','159','14','14.12'
'0PBB4ZX','159','14','14.12'
'0PBC0ZX','159','14','14.12'
'0PBC3ZX','159','14','14.12'
'0PBC4ZX','159','14','14.12'
'0PBD0ZX','159','14','14.12'
'0PBD3ZX','159','14','14.12'
'0PBD4ZX','159','14','14.12'
'0PBF0ZX','159','14','14.12'
'0PBF3ZX','159','14','14.12'
'0PBF4ZX','159','14','14.12'
'0PBG0ZX','159','14','14.12'
'0PBG3ZX','159','14','14.12'
'0PBG4ZX','159','14','14.12'
'0PBH0ZX','159','14','14.12'
'0PBH3ZX','159','14','14.12'
'0PBH4ZX','159','14','14.12'
'0PBJ0ZX','159','14','14.12'
'0PBJ3ZX','159','14','14.12'
'0PBJ4ZX','159','14','14.12'
'0PBK0ZX','159','14','14.12'
'0PBK3ZX','159','14','14.12'
'0PBK4ZX','159','14','14.12'
'0PBL0ZX','159','14','14.12'
'0PBL3ZX','159','14','14.12'
'0PBL4ZX','159','14','14.12'
'0PBM0ZX','159','14','14.12'
'0PBM3ZX','159','14','14.12'
'0PBM4ZX','159','14','14.12'
'0PBN0ZX','159','14','14.12'
'0PBN3ZX','159','14','14.12'
'0PBN4ZX','159','14','14.12'
'0PBP0ZX','159','14','14.12'
'0PBP3ZX','159','14','14.12'
'0PBP4ZX','159','14','14.12'
'0PBQ0ZX','159','14','14.12'
'0PBQ3ZX','159','14','14.12'
'0PBQ4ZX','159','14','14.12'
'0PBR0ZX','159','14','14.12'
'0PBR3ZX','159','14','14.12'
'0PBR4ZX','159','14','14.12'
'0PBS0ZX','159','14','14.12'
'0PBS3ZX','159','14','14.12'
'0PBS4ZX','159','14','14.12'
'0PBT0ZX','159','14','14.12'
'0PBT3ZX','159','14','14.12'
'0PBT4ZX','159','14','14.12'
'0PBV0ZX','159','14','14.12'
'0PBV3ZX','159','14','14.12'
'0PBV4ZX','159','14','14.12'
'0PJY0ZZ','159','14','14.12'
'0PJY3ZZ','159','14','14.12'
'0PJY4ZZ','159','14','14.12'
'0PJYXZZ','159','14','14.12'
'0Q900ZX','159','14','14.12'
'0Q903ZX','159','14','14.12'
'0Q904ZX','159','14','14.12'
'0Q910ZX','159','14','14.12'
'0Q913ZX','159','14','14.12'
'0Q914ZX','159','14','14.12'
'0Q920ZX','159','14','14.12'
'0Q923ZX','159','14','14.12'
'0Q924ZX','159','14','14.12'
'0Q930ZX','159','14','14.12'
'0Q933ZX','159','14','14.12'
'0Q934ZX','159','14','14.12'
'0Q940ZX','159','14','14.12'
'0Q943ZX','159','14','14.12'
'0Q944ZX','159','14','14.12'
'0Q950ZX','159','14','14.12'
'0Q953ZX','159','14','14.12'
'0Q954ZX','159','14','14.12'
'0Q960ZX','159','14','14.12'
'0Q963ZX','159','14','14.12'
'0Q964ZX','159','14','14.12'
'0Q970ZX','159','14','14.12'
'0Q973ZX','159','14','14.12'
'0Q974ZX','159','14','14.12'
'0Q980ZX','159','14','14.12'
'0Q983ZX','159','14','14.12'
'0Q984ZX','159','14','14.12'
'0Q990ZX','159','14','14.12'
'0Q993ZX','159','14','14.12'
'0Q994ZX','159','14','14.12'
'0Q9B0ZX','159','14','14.12'
'0Q9B3ZX','159','14','14.12'
'0Q9B4ZX','159','14','14.12'
'0Q9C0ZX','159','14','14.12'
'0Q9C3ZX','159','14','14.12'
'0Q9C4ZX','159','14','14.12'
'0Q9D0ZX','159','14','14.12'
'0Q9D3ZX','159','14','14.12'
'0Q9D4ZX','159','14','14.12'
'0Q9F0ZX','159','14','14.12'
'0Q9F3ZX','159','14','14.12'
'0Q9F4ZX','159','14','14.12'
'0Q9G0ZX','159','14','14.12'
'0Q9G3ZX','159','14','14.12'
'0Q9G4ZX','159','14','14.12'
'0Q9H0ZX','159','14','14.12'
'0Q9H3ZX','159','14','14.12'
'0Q9H4ZX','159','14','14.12'
'0Q9J0ZX','159','14','14.12'
'0Q9J3ZX','159','14','14.12'
'0Q9J4ZX','159','14','14.12'
'0Q9K0ZX','159','14','14.12'
'0Q9K3ZX','159','14','14.12'
'0Q9K4ZX','159','14','14.12'
'0Q9L0ZX','159','14','14.12'
'0Q9L3ZX','159','14','14.12'
'0Q9L4ZX','159','14','14.12'
'0Q9M0ZX','159','14','14.12'
'0Q9M3ZX','159','14','14.12'
'0Q9M4ZX','159','14','14.12'
'0Q9N0ZX','159','14','14.12'
'0Q9N3ZX','159','14','14.12'
'0Q9N4ZX','159','14','14.12'
'0Q9P0ZX','159','14','14.12'
'0Q9P3ZX','159','14','14.12'
'0Q9P4ZX','159','14','14.12'
'0Q9Q0ZX','159','14','14.12'
'0Q9Q3ZX','159','14','14.12'
'0Q9Q4ZX','159','14','14.12'
'0Q9R0ZX','159','14','14.12'
'0Q9R3ZX','159','14','14.12'
'0Q9R4ZX','159','14','14.12'
'0Q9S0ZX','159','14','14.12'
'0Q9S3ZX','159','14','14.12'
'0Q9S4ZX','159','14','14.12'
'0QB00ZX','159','14','14.12'
'0QB03ZX','159','14','14.12'
'0QB04ZX','159','14','14.12'
'0QB10ZX','159','14','14.12'
'0QB13ZX','159','14','14.12'
'0QB14ZX','159','14','14.12'
'0QB20ZX','159','14','14.12'
'0QB23ZX','159','14','14.12'
'0QB24ZX','159','14','14.12'
'0QB30ZX','159','14','14.12'
'0QB33ZX','159','14','14.12'
'0QB34ZX','159','14','14.12'
'0QB40ZX','159','14','14.12'
'0QB43ZX','159','14','14.12'
'0QB44ZX','159','14','14.12'
'0QB50ZX','159','14','14.12'
'0QB53ZX','159','14','14.12'
'0QB54ZX','159','14','14.12'
'0QB60ZX','159','14','14.12'
'0QB63ZX','159','14','14.12'
'0QB64ZX','159','14','14.12'
'0QB70ZX','159','14','14.12'
'0QB73ZX','159','14','14.12'
'0QB74ZX','159','14','14.12'
'0QB80ZX','159','14','14.12'
'0QB83ZX','159','14','14.12'
'0QB84ZX','159','14','14.12'
'0QB90ZX','159','14','14.12'
'0QB93ZX','159','14','14.12'
'0QB94ZX','159','14','14.12'
'0QBB0ZX','159','14','14.12'
'0QBB3ZX','159','14','14.12'
'0QBB4ZX','159','14','14.12'
'0QBC0ZX','159','14','14.12'
'0QBC3ZX','159','14','14.12'
'0QBC4ZX','159','14','14.12'
'0QBD0ZX','159','14','14.12'
'0QBD3ZX','159','14','14.12'
'0QBD4ZX','159','14','14.12'
'0QBF0ZX','159','14','14.12'
'0QBF3ZX','159','14','14.12'
'0QBF4ZX','159','14','14.12'
'0QBG0ZX','159','14','14.12'
'0QBG3ZX','159','14','14.12'
'0QBG4ZX','159','14','14.12'
'0QBH0ZX','159','14','14.12'
'0QBH3ZX','159','14','14.12'
'0QBH4ZX','159','14','14.12'
'0QBJ0ZX','159','14','14.12'
'0QBJ3ZX','159','14','14.12'
'0QBJ4ZX','159','14','14.12'
'0QBK0ZX','159','14','14.12'
'0QBK3ZX','159','14','14.12'
'0QBK4ZX','159','14','14.12'
'0QBL0ZX','159','14','14.12'
'0QBL3ZX','159','14','14.12'
'0QBL4ZX','159','14','14.12'
'0QBM0ZX','159','14','14.12'
'0QBM3ZX','159','14','14.12'
'0QBM4ZX','159','14','14.12'
'0QBN0ZX','159','14','14.12'
'0QBN3ZX','159','14','14.12'
'0QBN4ZX','159','14','14.12'
'0QBP0ZX','159','14','14.12'
'0QBP3ZX','159','14','14.12'
'0QBP4ZX','159','14','14.12'
'0QBQ0ZX','159','14','14.12'
'0QBQ3ZX','159','14','14.12'
'0QBQ4ZX','159','14','14.12'
'0QBR0ZX','159','14','14.12'
'0QBR3ZX','159','14','14.12'
'0QBR4ZX','159','14','14.12'
'0QBS0ZX','159','14','14.12'
'0QBS3ZX','159','14','14.12'
'0QBS4ZX','159','14','14.12'
'0QJY0ZZ','159','14','14.12'
'0QJY3ZZ','159','14','14.12'
'0QJY4ZZ','159','14','14.12'
'0QJYXZZ','159','14','14.12'
'0R900ZX','159','14','14.12'
'0R903ZX','159','14','14.12'
'0R904ZX','159','14','14.12'
'0R910ZX','159','14','14.12'
'0R913ZX','159','14','14.12'
'0R914ZX','159','14','14.12'
'0R930ZX','159','14','14.12'
'0R933ZX','159','14','14.12'
'0R934ZX','159','14','14.12'
'0R940ZX','159','14','14.12'
'0R943ZX','159','14','14.12'
'0R944ZX','159','14','14.12'
'0R950ZX','159','14','14.12'
'0R953ZX','159','14','14.12'
'0R954ZX','159','14','14.12'
'0R960ZX','159','14','14.12'
'0R963ZX','159','14','14.12'
'0R964ZX','159','14','14.12'
'0R990ZX','159','14','14.12'
'0R993ZX','159','14','14.12'
'0R994ZX','159','14','14.12'
'0R9A0ZX','159','14','14.12'
'0R9A3ZX','159','14','14.12'
'0R9A4ZX','159','14','14.12'
'0R9B0ZX','159','14','14.12'
'0R9B3ZX','159','14','14.12'
'0R9B4ZX','159','14','14.12'
'0R9C0ZX','159','14','14.12'
'0R9C3ZX','159','14','14.12'
'0R9C4ZX','159','14','14.12'
'0R9D0ZX','159','14','14.12'
'0R9D3ZX','159','14','14.12'
'0R9D4ZX','159','14','14.12'
'0R9E0ZX','159','14','14.12'
'0R9E3ZX','159','14','14.12'
'0R9E4ZX','159','14','14.12'
'0R9F0ZX','159','14','14.12'
'0R9F3ZX','159','14','14.12'
'0R9F4ZX','159','14','14.12'
'0R9G0ZX','159','14','14.12'
'0R9G3ZX','159','14','14.12'
'0R9G4ZX','159','14','14.12'
'0R9H0ZX','159','14','14.12'
'0R9H3ZX','159','14','14.12'
'0R9H4ZX','159','14','14.12'
'0R9J0ZX','159','14','14.12'
'0R9J3ZX','159','14','14.12'
'0R9J4ZX','159','14','14.12'
'0R9K0ZX','159','14','14.12'
'0R9K3ZX','159','14','14.12'
'0R9K4ZX','159','14','14.12'
'0R9L0ZX','159','14','14.12'
'0R9L3ZX','159','14','14.12'
'0R9L4ZX','159','14','14.12'
'0R9M0ZX','159','14','14.12'
'0R9M3ZX','159','14','14.12'
'0R9M4ZX','159','14','14.12'
'0R9N0ZX','159','14','14.12'
'0R9N3ZX','159','14','14.12'
'0R9N4ZX','159','14','14.12'
'0R9P0ZX','159','14','14.12'
'0R9P3ZX','159','14','14.12'
'0R9P4ZX','159','14','14.12'
'0R9Q0ZX','159','14','14.12'
'0R9Q3ZX','159','14','14.12'
'0R9Q4ZX','159','14','14.12'
'0R9R0ZX','159','14','14.12'
'0R9R3ZX','159','14','14.12'
'0R9R4ZX','159','14','14.12'
'0R9S0ZX','159','14','14.12'
'0R9S3ZX','159','14','14.12'
'0R9S4ZX','159','14','14.12'
'0R9T0ZX','159','14','14.12'
'0R9T3ZX','159','14','14.12'
'0R9T4ZX','159','14','14.12'
'0R9U0ZX','159','14','14.12'
'0R9U3ZX','159','14','14.12'
'0R9U4ZX','159','14','14.12'
'0R9V0ZX','159','14','14.12'
'0R9V3ZX','159','14','14.12'
'0R9V4ZX','159','14','14.12'
'0R9W0ZX','159','14','14.12'
'0R9W3ZX','159','14','14.12'
'0R9W4ZX','159','14','14.12'
'0R9X0ZX','159','14','14.12'
'0R9X3ZX','159','14','14.12'
'0R9X4ZX','159','14','14.12'
'0RB00ZX','159','14','14.12'
'0RB03ZX','159','14','14.12'
'0RB04ZX','159','14','14.12'
'0RB10ZX','159','14','14.12'
'0RB13ZX','159','14','14.12'
'0RB14ZX','159','14','14.12'
'0RB30ZX','159','14','14.12'
'0RB33ZX','159','14','14.12'
'0RB34ZX','159','14','14.12'
'0RB40ZX','159','14','14.12'
'0RB43ZX','159','14','14.12'
'0RB44ZX','159','14','14.12'
'0RB50ZX','159','14','14.12'
'0RB53ZX','159','14','14.12'
'0RB54ZX','159','14','14.12'
'0RB60ZX','159','14','14.12'
'0RB63ZX','159','14','14.12'
'0RB64ZX','159','14','14.12'
'0RB90ZX','159','14','14.12'
'0RB93ZX','159','14','14.12'
'0RB94ZX','159','14','14.12'
'0RBA0ZX','159','14','14.12'
'0RBA3ZX','159','14','14.12'
'0RBA4ZX','159','14','14.12'
'0RBB0ZX','159','14','14.12'
'0RBB3ZX','159','14','14.12'
'0RBB4ZX','159','14','14.12'
'0RBC0ZX','159','14','14.12'
'0RBC3ZX','159','14','14.12'
'0RBC4ZX','159','14','14.12'
'0RBD0ZX','159','14','14.12'
'0RBD3ZX','159','14','14.12'
'0RBD4ZX','159','14','14.12'
'0RBE0ZX','159','14','14.12'
'0RBE3ZX','159','14','14.12'
'0RBE4ZX','159','14','14.12'
'0RBF0ZX','159','14','14.12'
'0RBF3ZX','159','14','14.12'
'0RBF4ZX','159','14','14.12'
'0RBG0ZX','159','14','14.12'
'0RBG3ZX','159','14','14.12'
'0RBG4ZX','159','14','14.12'
'0RBH0ZX','159','14','14.12'
'0RBH3ZX','159','14','14.12'
'0RBH4ZX','159','14','14.12'
'0RBJ0ZX','159','14','14.12'
'0RBJ3ZX','159','14','14.12'
'0RBJ4ZX','159','14','14.12'
'0RBK0ZX','159','14','14.12'
'0RBK3ZX','159','14','14.12'
'0RBK4ZX','159','14','14.12'
'0RBL0ZX','159','14','14.12'
'0RBL3ZX','159','14','14.12'
'0RBL4ZX','159','14','14.12'
'0RBM0ZX','159','14','14.12'
'0RBM3ZX','159','14','14.12'
'0RBM4ZX','159','14','14.12'
'0RBN0ZX','159','14','14.12'
'0RBN3ZX','159','14','14.12'
'0RBN4ZX','159','14','14.12'
'0RBP0ZX','159','14','14.12'
'0RBP3ZX','159','14','14.12'
'0RBP4ZX','159','14','14.12'
'0RBQ0ZX','159','14','14.12'
'0RBQ3ZX','159','14','14.12'
'0RBQ4ZX','159','14','14.12'
'0RBR0ZX','159','14','14.12'
'0RBR3ZX','159','14','14.12'
'0RBR4ZX','159','14','14.12'
'0RBS0ZX','159','14','14.12'
'0RBS3ZX','159','14','14.12'
'0RBS4ZX','159','14','14.12'
'0RBT0ZX','159','14','14.12'
'0RBT3ZX','159','14','14.12'
'0RBT4ZX','159','14','14.12'
'0RBU0ZX','159','14','14.12'
'0RBU3ZX','159','14','14.12'
'0RBU4ZX','159','14','14.12'
'0RBV0ZX','159','14','14.12'
'0RBV3ZX','159','14','14.12'
'0RBV4ZX','159','14','14.12'
'0RBW0ZX','159','14','14.12'
'0RBW3ZX','159','14','14.12'
'0RBW4ZX','159','14','14.12'
'0RBX0ZX','159','14','14.12'
'0RBX3ZX','159','14','14.12'
'0RBX4ZX','159','14','14.12'
'0RJ00ZZ','159','14','14.12'
'0RJ03ZZ','159','14','14.12'
'0RJ0XZZ','159','14','14.12'
'0RJ10ZZ','159','14','14.12'
'0RJ13ZZ','159','14','14.12'
'0RJ1XZZ','159','14','14.12'
'0RJ30ZZ','159','14','14.12'
'0RJ33ZZ','159','14','14.12'
'0RJ3XZZ','159','14','14.12'
'0RJ40ZZ','159','14','14.12'
'0RJ43ZZ','159','14','14.12'
'0RJ4XZZ','159','14','14.12'
'0RJ50ZZ','159','14','14.12'
'0RJ53ZZ','159','14','14.12'
'0RJ5XZZ','159','14','14.12'
'0RJ60ZZ','159','14','14.12'
'0RJ63ZZ','159','14','14.12'
'0RJ6XZZ','159','14','14.12'
'0RJ90ZZ','159','14','14.12'
'0RJ93ZZ','159','14','14.12'
'0RJ9XZZ','159','14','14.12'
'0RJA0ZZ','159','14','14.12'
'0RJA3ZZ','159','14','14.12'
'0RJAXZZ','159','14','14.12'
'0RJB0ZZ','159','14','14.12'
'0RJB3ZZ','159','14','14.12'
'0RJBXZZ','159','14','14.12'
'0RJC0ZZ','159','14','14.12'
'0RJC3ZZ','159','14','14.12'
'0RJCXZZ','159','14','14.12'
'0RJD0ZZ','159','14','14.12'
'0RJD3ZZ','159','14','14.12'
'0RJDXZZ','159','14','14.12'
'0RJE0ZZ','159','14','14.12'
'0RJE3ZZ','159','14','14.12'
'0RJEXZZ','159','14','14.12'
'0RJF0ZZ','159','14','14.12'
'0RJF3ZZ','159','14','14.12'
'0RJFXZZ','159','14','14.12'
'0RJG0ZZ','159','14','14.12'
'0RJG3ZZ','159','14','14.12'
'0RJGXZZ','159','14','14.12'
'0RJH0ZZ','159','14','14.12'
'0RJH3ZZ','159','14','14.12'
'0RJHXZZ','159','14','14.12'
'0RJJ0ZZ','159','14','14.12'
'0RJJ3ZZ','159','14','14.12'
'0RJJXZZ','159','14','14.12'
'0RJK0ZZ','159','14','14.12'
'0RJK3ZZ','159','14','14.12'
'0RJKXZZ','159','14','14.12'
'0RJL0ZZ','159','14','14.12'
'0RJL3ZZ','159','14','14.12'
'0RJLXZZ','159','14','14.12'
'0RJM0ZZ','159','14','14.12'
'0RJM3ZZ','159','14','14.12'
'0RJMXZZ','159','14','14.12'
'0RJN0ZZ','159','14','14.12'
'0RJN3ZZ','159','14','14.12'
'0RJNXZZ','159','14','14.12'
'0RJP0ZZ','159','14','14.12'
'0RJP3ZZ','159','14','14.12'
'0RJPXZZ','159','14','14.12'
'0RJQ0ZZ','159','14','14.12'
'0RJQ3ZZ','159','14','14.12'
'0RJQXZZ','159','14','14.12'
'0RJR0ZZ','159','14','14.12'
'0RJR3ZZ','159','14','14.12'
'0RJRXZZ','159','14','14.12'
'0RJS0ZZ','159','14','14.12'
'0RJS3ZZ','159','14','14.12'
'0RJSXZZ','159','14','14.12'
'0RJT0ZZ','159','14','14.12'
'0RJT3ZZ','159','14','14.12'
'0RJTXZZ','159','14','14.12'
'0RJU0ZZ','159','14','14.12'
'0RJU3ZZ','159','14','14.12'
'0RJUXZZ','159','14','14.12'
'0RJV0ZZ','159','14','14.12'
'0RJV3ZZ','159','14','14.12'
'0RJVXZZ','159','14','14.12'
'0RJW0ZZ','159','14','14.12'
'0RJW3ZZ','159','14','14.12'
'0RJWXZZ','159','14','14.12'
'0RJX0ZZ','159','14','14.12'
'0RJX3ZZ','159','14','14.12'
'0RJXXZZ','159','14','14.12'
'0S900ZX','159','14','14.12'
'0S903ZX','159','14','14.12'
'0S904ZX','159','14','14.12'
'0S920ZX','159','14','14.12'
'0S923ZX','159','14','14.12'
'0S924ZX','159','14','14.12'
'0S930ZX','159','14','14.12'
'0S933ZX','159','14','14.12'
'0S934ZX','159','14','14.12'
'0S940ZX','159','14','14.12'
'0S943ZX','159','14','14.12'
'0S944ZX','159','14','14.12'
'0S950ZX','159','14','14.12'
'0S953ZX','159','14','14.12'
'0S954ZX','159','14','14.12'
'0S960ZX','159','14','14.12'
'0S963ZX','159','14','14.12'
'0S964ZX','159','14','14.12'
'0S970ZX','159','14','14.12'
'0S973ZX','159','14','14.12'
'0S974ZX','159','14','14.12'
'0S980ZX','159','14','14.12'
'0S983ZX','159','14','14.12'
'0S984ZX','159','14','14.12'
'0S990ZX','159','14','14.12'
'0S993ZX','159','14','14.12'
'0S994ZX','159','14','14.12'
'0S9B0ZX','159','14','14.12'
'0S9B3ZX','159','14','14.12'
'0S9B4ZX','159','14','14.12'
'0S9C0ZX','159','14','14.12'
'0S9C3ZX','159','14','14.12'
'0S9C4ZX','159','14','14.12'
'0S9D0ZX','159','14','14.12'
'0S9D3ZX','159','14','14.12'
'0S9D4ZX','159','14','14.12'
'0S9F0ZX','159','14','14.12'
'0S9F3ZX','159','14','14.12'
'0S9F4ZX','159','14','14.12'
'0S9G0ZX','159','14','14.12'
'0S9G3ZX','159','14','14.12'
'0S9G4ZX','159','14','14.12'
'0S9H0ZX','159','14','14.12'
'0S9H3ZX','159','14','14.12'
'0S9H4ZX','159','14','14.12'
'0S9J0ZX','159','14','14.12'
'0S9J3ZX','159','14','14.12'
'0S9J4ZX','159','14','14.12'
'0S9K0ZX','159','14','14.12'
'0S9K3ZX','159','14','14.12'
'0S9K4ZX','159','14','14.12'
'0S9L0ZX','159','14','14.12'
'0S9L3ZX','159','14','14.12'
'0S9L4ZX','159','14','14.12'
'0S9M0ZX','159','14','14.12'
'0S9M3ZX','159','14','14.12'
'0S9M4ZX','159','14','14.12'
'0S9N0ZX','159','14','14.12'
'0S9N3ZX','159','14','14.12'
'0S9N4ZX','159','14','14.12'
'0S9P0ZX','159','14','14.12'
'0S9P3ZX','159','14','14.12'
'0S9P4ZX','159','14','14.12'
'0S9Q0ZX','159','14','14.12'
'0S9Q3ZX','159','14','14.12'
'0S9Q4ZX','159','14','14.12'
'0SB00ZX','159','14','14.12'
'0SB03ZX','159','14','14.12'
'0SB04ZX','159','14','14.12'
'0SB20ZX','159','14','14.12'
'0SB23ZX','159','14','14.12'
'0SB24ZX','159','14','14.12'
'0SB30ZX','159','14','14.12'
'0SB33ZX','159','14','14.12'
'0SB34ZX','159','14','14.12'
'0SB40ZX','159','14','14.12'
'0SB43ZX','159','14','14.12'
'0SB44ZX','159','14','14.12'
'0SB50ZX','159','14','14.12'
'0SB53ZX','159','14','14.12'
'0SB54ZX','159','14','14.12'
'0SB60ZX','159','14','14.12'
'0SB63ZX','159','14','14.12'
'0SB64ZX','159','14','14.12'
'0SB70ZX','159','14','14.12'
'0SB73ZX','159','14','14.12'
'0SB74ZX','159','14','14.12'
'0SB80ZX','159','14','14.12'
'0SB83ZX','159','14','14.12'
'0SB84ZX','159','14','14.12'
'0SB90ZX','159','14','14.12'
'0SB93ZX','159','14','14.12'
'0SB94ZX','159','14','14.12'
'0SBB0ZX','159','14','14.12'
'0SBB3ZX','159','14','14.12'
'0SBB4ZX','159','14','14.12'
'0SBC0ZX','159','14','14.12'
'0SBC3ZX','159','14','14.12'
'0SBC4ZX','159','14','14.12'
'0SBD0ZX','159','14','14.12'
'0SBD3ZX','159','14','14.12'
'0SBD4ZX','159','14','14.12'
'0SBF0ZX','159','14','14.12'
'0SBF3ZX','159','14','14.12'
'0SBF4ZX','159','14','14.12'
'0SBG0ZX','159','14','14.12'
