code,multi_1,multi_2,multi_3,multi_4
'V1020','2','2.11','2.11.2',' '
'V1022','2','2.11','2.11.2',' '
'1700 ','2','2.11','2.11.3',' '
'1701 ','2','2.11','2.11.3',' '
'1702 ','2','2.11','2.11.3',' '
'1703 ','2','2.11','2.11.3',' '
'1704 ','2','2.11','2.11.3',' '
'1705 ','2','2.11','2.11.3',' '
'1706 ','2','2.11','2.11.3',' '
'1707 ','2','2.11','2.11.3',' '
'1708 ','2','2.11','2.11.3',' '
'1709 ','2','2.11','2.11.3',' '
'1710 ','2','2.11','2.11.3',' '
'1712 ','2','2.11','2.11.3',' '
'1713 ','2','2.11','2.11.3',' '
'1714 ','2','2.11','2.11.3',' '
'1715 ','2','2.11','2.11.3',' '
'1716 ','2','2.11','2.11.3',' '
'1717 ','2','2.11','2.11.3',' '
'1718 ','2','2.11','2.11.3',' '
'1719 ','2','2.11','2.11.3',' '
'1910 ','2','2.11','2.11.4',' '
'1911 ','2','2.11','2.11.4',' '
'1912 ','2','2.11','2.11.4',' '
'1913 ','2','2.11','2.11.4',' '
'1914 ','2','2.11','2.11.4',' '
'1915 ','2','2.11','2.11.4',' '
'1916 ','2','2.11','2.11.4',' '
'1917 ','2','2.11','2.11.4',' '
'1918 ','2','2.11','2.11.4',' '
'1919 ','2','2.11','2.11.4',' '
'1920 ','2','2.11','2.11.4',' '
'1921 ','2','2.11','2.11.4',' '
'1922 ','2','2.11','2.11.4',' '
'1923 ','2','2.11','2.11.4',' '
'1928 ','2','2.11','2.11.4',' '
'1929 ','2','2.11','2.11.4',' '
'V1085','2','2.11','2.11.4',' '
'V1086','2','2.11','2.11.4',' '
'193  ','2','2.11','2.11.5',' '
'25802','2','2.11','2.11.5',' '
'25803','2','2.11','2.11.5',' '
'V1087','2','2.11','2.11.5',' '
'1640 ','2','2.11','2.11.6',' '
'1641 ','2','2.11','2.11.6',' '
'1642 ','2','2.11','2.11.6',' '
'1643 ','2','2.11','2.11.6',' '
'1648 ','2','2.11','2.11.6',' '
'1649 ','2','2.11','2.11.6',' '
'1760 ','2','2.11','2.11.6',' '
'1761 ','2','2.11','2.11.6',' '
'1762 ','2','2.11','2.11.6',' '
'1763 ','2','2.11','2.11.6',' '
'1764 ','2','2.11','2.11.6',' '
'1765 ','2','2.11','2.11.6',' '
'1768 ','2','2.11','2.11.6',' '
'1769 ','2','2.11','2.11.6',' '
'1900 ','2','2.11','2.11.6',' '
'1901 ','2','2.11','2.11.6',' '
'1902 ','2','2.11','2.11.6',' '
'1903 ','2','2.11','2.11.6',' '
'1904 ','2','2.11','2.11.6',' '
'1905 ','2','2.11','2.11.6',' '
'1906 ','2','2.11','2.11.6',' '
'1907 ','2','2.11','2.11.6',' '
'1908 ','2','2.11','2.11.6',' '
'1909 ','2','2.11','2.11.6',' '
'1940 ','2','2.11','2.11.6',' '
'1941 ','2','2.11','2.11.6',' '
'1943 ','2','2.11','2.11.6',' '
'1944 ','2','2.11','2.11.6',' '
'1945 ','2','2.11','2.11.6',' '
'1946 ','2','2.11','2.11.6',' '
'1948 ','2','2.11','2.11.6',' '
'1949 ','2','2.11','2.11.6',' '
'1951 ','2','2.11','2.11.6',' '
'1952 ','2','2.11','2.11.6',' '
'1953 ','2','2.11','2.11.6',' '
'1954 ','2','2.11','2.11.6',' '
'1955 ','2','2.11','2.11.6',' '
'1958 ','2','2.11','2.11.6',' '
'20230','2','2.11','2.11.6',' '
'20231','2','2.11','2.11.6',' '
'20232','2','2.11','2.11.6',' '
'20233','2','2.11','2.11.6',' '
'20234','2','2.11','2.11.6',' '
'20235','2','2.11','2.11.6',' '
'20236','2','2.11','2.11.6',' '
'20237','2','2.11','2.11.6',' '
'20238','2','2.11','2.11.6',' '
'20250','2','2.11','2.11.6',' '
'20251','2','2.11','2.11.6',' '
'20252','2','2.11','2.11.6',' '
'20253','2','2.11','2.11.6',' '
'20254','2','2.11','2.11.6',' '
'20255','2','2.11','2.11.6',' '
'20256','2','2.11','2.11.6',' '
'20257','2','2.11','2.11.6',' '
'20258','2','2.11','2.11.6',' '
'20260','2','2.11','2.11.6',' '
'20261','2','2.11','2.11.6',' '
'20262','2','2.11','2.11.6',' '
'20263','2','2.11','2.11.6',' '
'20264','2','2.11','2.11.6',' '
'20265','2','2.11','2.11.6',' '
'20266','2','2.11','2.11.6',' '
'20267','2','2.11','2.11.6',' '
'20268','2','2.11','2.11.6',' '
'20922','2','2.11','2.11.6',' '
'20925','2','2.11','2.11.6',' '
'20926','2','2.11','2.11.6',' '
'20927','2','2.11','2.11.6',' '
'2340 ','2','2.11','2.11.6',' '
'2348 ','2','2.11','2.11.6',' '
'2349 ','2','2.11','2.11.6',' '
'7951 ','2','2.11','2.11.6',' '
'79510','2','2.11','2.11.6',' '
'79511','2','2.11','2.11.6',' '
'79512','2','2.11','2.11.6',' '
'79513','2','2.11','2.11.6',' '
'79514','2','2.11','2.11.6',' '
'V1029','2','2.11','2.11.6',' '
'V1081','2','2.11','2.11.6',' '
'V1084','2','2.11','2.11.6',' '
'V1088','2','2.11','2.11.6',' '
'V1089','2','2.11','2.11.6',' '
'V109 ','2','2.11','2.11.6',' '
'V1090','2','2.11','2.11.6',' '
'V1091','2','2.11','2.11.6',' '
'V711 ','2','2.11','2.11.6',' '
'1960 ','2','2.12','2.12.1',' '
'1961 ','2','2.12','2.12.1',' '
'1962 ','2','2.12','2.12.1',' '
'1963 ','2','2.12','2.12.1',' '
'1965 ','2','2.12','2.12.1',' '
'1966 ','2','2.12','2.12.1',' '
'1968 ','2','2.12','2.12.1',' '
'1969 ','2','2.12','2.12.1',' '
'20971','2','2.12','2.12.1',' '
'1970 ','2','2.12','2.12.2',' '
'1977 ','2','2.12','2.12.3',' '
'20972','2','2.12','2.12.3',' '
'1983 ','2','2.12','2.12.4',' '
'1985 ','2','2.12','2.12.5',' '
'20973','2','2.12','2.12.5',' '
'1971 ','2','2.12','2.12.6',' '
'1972 ','2','2.12','2.12.6',' '
'1973 ','2','2.12','2.12.6',' '
'1974 ','2','2.12','2.12.6',' '
'1975 ','2','2.12','2.12.6',' '
'1976 ','2','2.12','2.12.6',' '
'1978 ','2','2.12','2.12.6',' '
'1980 ','2','2.12','2.12.6',' '
'1981 ','2','2.12','2.12.6',' '
'1982 ','2','2.12','2.12.6',' '
'1984 ','2','2.12','2.12.6',' '
'1986 ','2','2.12','2.12.6',' '
'1987 ','2','2.12','2.12.6',' '
'19881','2','2.12','2.12.6',' '
'19882','2','2.12','2.12.6',' '
'19889','2','2.12','2.12.6',' '
'20974','2','2.12','2.12.6',' '
'51181','2','2.12','2.12.6',' '
'78951','2','2.12','2.12.6',' '
'1990 ','2','2.13',' ',' '
'1991 ','2','2.13',' ',' '
'1992 ','2','2.13',' ',' '
'20920','2','2.13',' ',' '
'20929','2','2.13',' ',' '
'20930','2','2.13',' ',' '
'20970','2','2.13',' ',' '
'20975','2','2.13',' ',' '
'20979','2','2.13',' ',' '
'2350 ','2','2.14',' ',' '
'2351 ','2','2.14',' ',' '
'2352 ','2','2.14',' ',' '
'2353 ','2','2.14',' ',' '
'2354 ','2','2.14',' ',' '
'2355 ','2','2.14',' ',' '
'2356 ','2','2.14',' ',' '
'2357 ','2','2.14',' ',' '
'2358 ','2','2.14',' ',' '
'2359 ','2','2.14',' ',' '
'2360 ','2','2.14',' ',' '
'2361 ','2','2.14',' ',' '
'2362 ','2','2.14',' ',' '
'2363 ','2','2.14',' ',' '
'2364 ','2','2.14',' ',' '
'2365 ','2','2.14',' ',' '
'2366 ','2','2.14',' ',' '
'2367 ','2','2.14',' ',' '
'23690','2','2.14',' ',' '
'23691','2','2.14',' ',' '
'23699','2','2.14',' ',' '
'2370 ','2','2.14',' ',' '
'2371 ','2','2.14',' ',' '
'2372 ','2','2.14',' ',' '
'2373 ','2','2.14',' ',' '
'2374 ','2','2.14',' ',' '
'2375 ','2','2.14',' ',' '
'2376 ','2','2.14',' ',' '
'2377 ','2','2.14',' ',' '
'23770','2','2.14',' ',' '
'23771','2','2.14',' ',' '
'23772','2','2.14',' ',' '
'23773','2','2.14',' ',' '
'23779','2','2.14',' ',' '
'2379 ','2','2.14',' ',' '
'2380 ','2','2.14',' ',' '
'2381 ','2','2.14',' ',' '
'2382 ','2','2.14',' ',' '
'2383 ','2','2.14',' ',' '
'2384 ','2','2.14',' ',' '
'2385 ','2','2.14',' ',' '
'2386 ','2','2.14',' ',' '
'2387 ','2','2.14',' ',' '
'23871','2','2.14',' ',' '
'23872','2','2.14',' ',' '
'23873','2','2.14',' ',' '
'23874','2','2.14',' ',' '
'23875','2','2.14',' ',' '
'23876','2','2.14',' ',' '
'23877','2','2.14',' ',' '
'23879','2','2.14',' ',' '
'2388 ','2','2.14',' ',' '
'2389 ','2','2.14',' ',' '
'2390 ','2','2.14',' ',' '
'2391 ','2','2.14',' ',' '
'2392 ','2','2.14',' ',' '
'2393 ','2','2.14',' ',' '
'2394 ','2','2.14',' ',' '
'2395 ','2','2.14',' ',' '
'2396 ','2','2.14',' ',' '
'2397 ','2','2.14',' ',' '
'2398 ','2','2.14',' ',' '
'23981','2','2.14',' ',' '
'23989','2','2.14',' ',' '
'2399 ','2','2.14',' ',' '
'V580 ','2','2.15','2.15.1',' '
'V661 ','2','2.15','2.15.1',' '
'V671 ','2','2.15','2.15.1',' '
'V581 ','2','2.15','2.15.2',' '
'V5811','2','2.15','2.15.2',' '
'V5812','2','2.15','2.15.2',' '
'V662 ','2','2.15','2.15.2',' '
'V672 ','2','2.15','2.15.2',' '
'2180 ','2','2.16','2.16.1',' '
'2181 ','2','2.16','2.16.1',' '
'2182 ','2','2.16','2.16.1',' '
'2189 ','2','2.16','2.16.1',' '
'2190 ','2','2.16','2.16.1',' '
'2191 ','2','2.16','2.16.1',' '
'2198 ','2','2.16','2.16.1',' '
'2199 ','2','2.16','2.16.1',' '
'220  ','2','2.16','2.16.2','2.16.2.1'
'20950','2','2.16','2.16.2','2.16.2.2'
'20951','2','2.16','2.16.2','2.16.2.2'
'20952','2','2.16','2.16.2','2.16.2.2'
'20953','2','2.16','2.16.2','2.16.2.2'
'20954','2','2.16','2.16.2','2.16.2.2'
'20955','2','2.16','2.16.2','2.16.2.2'
'20956','2','2.16','2.16.2','2.16.2.2'
'20957','2','2.16','2.16.2','2.16.2.2'
'2113 ','2','2.16','2.16.2','2.16.2.2'
'2114 ','2','2.16','2.16.2','2.16.2.2'
'V1272','2','2.16','2.16.2','2.16.2.2'
'226  ','2','2.16','2.16.2','2.16.2.3'
'2252 ','2','2.16','2.16.2','2.16.2.4'
'20940','2','2.16','2.16.2','2.16.2.5'
'20941','2','2.16','2.16.2','2.16.2.5'
'20942','2','2.16','2.16.2','2.16.2.5'
'20943','2','2.16','2.16.2','2.16.2.5'
'20960','2','2.16','2.16.2','2.16.2.5'
'20961','2','2.16','2.16.2','2.16.2.5'
'20962','2','2.16','2.16.2','2.16.2.5'
'20963','2','2.16','2.16.2','2.16.2.5'
'20964','2','2.16','2.16.2','2.16.2.5'
'20965','2','2.16','2.16.2','2.16.2.5'
'20966','2','2.16','2.16.2','2.16.2.5'
'20967','2','2.16','2.16.2','2.16.2.5'
'20969','2','2.16','2.16.2','2.16.2.5'
'2100 ','2','2.16','2.16.2','2.16.2.5'
'2101 ','2','2.16','2.16.2','2.16.2.5'
'2102 ','2','2.16','2.16.2','2.16.2.5'
'2103 ','2','2.16','2.16.2','2.16.2.5'
'2104 ','2','2.16','2.16.2','2.16.2.5'
'2105 ','2','2.16','2.16.2','2.16.2.5'
'2106 ','2','2.16','2.16.2','2.16.2.5'
'2107 ','2','2.16','2.16.2','2.16.2.5'
'2108 ','2','2.16','2.16.2','2.16.2.5'
'2109 ','2','2.16','2.16.2','2.16.2.5'
'2110 ','2','2.16','2.16.2','2.16.2.5'
'2111 ','2','2.16','2.16.2','2.16.2.5'
'2112 ','2','2.16','2.16.2','2.16.2.5'
'2115 ','2','2.16','2.16.2','2.16.2.5'
'2116 ','2','2.16','2.16.2','2.16.2.5'
'2117 ','2','2.16','2.16.2','2.16.2.5'
'2118 ','2','2.16','2.16.2','2.16.2.5'
'2119 ','2','2.16','2.16.2','2.16.2.5'
'2120 ','2','2.16','2.16.2','2.16.2.5'
'2121 ','2','2.16','2.16.2','2.16.2.5'
'2122 ','2','2.16','2.16.2','2.16.2.5'
'2123 ','2','2.16','2.16.2','2.16.2.5'
'2124 ','2','2.16','2.16.2','2.16.2.5'
'2125 ','2','2.16','2.16.2','2.16.2.5'
'2126 ','2','2.16','2.16.2','2.16.2.5'
'2127 ','2','2.16','2.16.2','2.16.2.5'
'2128 ','2','2.16','2.16.2','2.16.2.5'
'2129 ','2','2.16','2.16.2','2.16.2.5'
'2130 ','2','2.16','2.16.2','2.16.2.5'
'2131 ','2','2.16','2.16.2','2.16.2.5'
'2132 ','2','2.16','2.16.2','2.16.2.5'
'2133 ','2','2.16','2.16.2','2.16.2.5'
'2134 ','2','2.16','2.16.2','2.16.2.5'
'2135 ','2','2.16','2.16.2','2.16.2.5'
'2136 ','2','2.16','2.16.2','2.16.2.5'
'2137 ','2','2.16','2.16.2','2.16.2.5'
'2138 ','2','2.16','2.16.2','2.16.2.5'
'2139 ','2','2.16','2.16.2','2.16.2.5'
'2140 ','2','2.16','2.16.2','2.16.2.5'
'2141 ','2','2.16','2.16.2','2.16.2.5'
'2142 ','2','2.16','2.16.2','2.16.2.5'
'2143 ','2','2.16','2.16.2','2.16.2.5'
'2144 ','2','2.16','2.16.2','2.16.2.5'
'2148 ','2','2.16','2.16.2','2.16.2.5'
'2149 ','2','2.16','2.16.2','2.16.2.5'
'2150 ','2','2.16','2.16.2','2.16.2.5'
'2152 ','2','2.16','2.16.2','2.16.2.5'
'2153 ','2','2.16','2.16.2','2.16.2.5'
'2154 ','2','2.16','2.16.2','2.16.2.5'
'2155 ','2','2.16','2.16.2','2.16.2.5'
'2156 ','2','2.16','2.16.2','2.16.2.5'
'2157 ','2','2.16','2.16.2','2.16.2.5'
'2158 ','2','2.16','2.16.2','2.16.2.5'
'2159 ','2','2.16','2.16.2','2.16.2.5'
'2160 ','2','2.16','2.16.2','2.16.2.5'
'2161 ','2','2.16','2.16.2','2.16.2.5'
'2162 ','2','2.16','2.16.2','2.16.2.5'
'2163 ','2','2.16','2.16.2','2.16.2.5'
'2164 ','2','2.16','2.16.2','2.16.2.5'
'2165 ','2','2.16','2.16.2','2.16.2.5'
'2166 ','2','2.16','2.16.2','2.16.2.5'
'2167 ','2','2.16','2.16.2','2.16.2.5'
'2168 ','2','2.16','2.16.2','2.16.2.5'
'2169 ','2','2.16','2.16.2','2.16.2.5'
'217  ','2','2.16','2.16.2','2.16.2.5'
'2210 ','2','2.16','2.16.2','2.16.2.5'
'2211 ','2','2.16','2.16.2','2.16.2.5'
'2212 ','2','2.16','2.16.2','2.16.2.5'
'2218 ','2','2.16','2.16.2','2.16.2.5'
'2219 ','2','2.16','2.16.2','2.16.2.5'
'2220 ','2','2.16','2.16.2','2.16.2.5'
'2221 ','2','2.16','2.16.2','2.16.2.5'
'2222 ','2','2.16','2.16.2','2.16.2.5'
'2223 ','2','2.16','2.16.2','2.16.2.5'
'2224 ','2','2.16','2.16.2','2.16.2.5'
'2228 ','2','2.16','2.16.2','2.16.2.5'
'2229 ','2','2.16','2.16.2','2.16.2.5'
'2230 ','2','2.16','2.16.2','2.16.2.5'
'2231 ','2','2.16','2.16.2','2.16.2.5'
'2232 ','2','2.16','2.16.2','2.16.2.5'
'2233 ','2','2.16','2.16.2','2.16.2.5'
'22381','2','2.16','2.16.2','2.16.2.5'
'22389','2','2.16','2.16.2','2.16.2.5'
'2239 ','2','2.16','2.16.2','2.16.2.5'
'2240 ','2','2.16','2.16.2','2.16.2.5'
'2241 ','2','2.16','2.16.2','2.16.2.5'
'2242 ','2','2.16','2.16.2','2.16.2.5'
'2243 ','2','2.16','2.16.2','2.16.2.5'
'2244 ','2','2.16','2.16.2','2.16.2.5'
'2245 ','2','2.16','2.16.2','2.16.2.5'
'2246 ','2','2.16','2.16.2','2.16.2.5'
'2247 ','2','2.16','2.16.2','2.16.2.5'
'2248 ','2','2.16','2.16.2','2.16.2.5'
'2249 ','2','2.16','2.16.2','2.16.2.5'
'2250 ','2','2.16','2.16.2','2.16.2.5'
'2251 ','2','2.16','2.16.2','2.16.2.5'
'2253 ','2','2.16','2.16.2','2.16.2.5'
'2254 ','2','2.16','2.16.2','2.16.2.5'
'2258 ','2','2.16','2.16.2','2.16.2.5'
'2259 ','2','2.16','2.16.2','2.16.2.5'
'2270 ','2','2.16','2.16.2','2.16.2.5'
'2271 ','2','2.16','2.16.2','2.16.2.5'
'2273 ','2','2.16','2.16.2','2.16.2.5'
'2274 ','2','2.16','2.16.2','2.16.2.5'
'2275 ','2','2.16','2.16.2','2.16.2.5'
'2276 ','2','2.16','2.16.2','2.16.2.5'
'2278 ','2','2.16','2.16.2','2.16.2.5'
'2279 ','2','2.16','2.16.2','2.16.2.5'
'22800','2','2.16','2.16.2','2.16.2.5'
'22801','2','2.16','2.16.2','2.16.2.5'
'22802','2','2.16','2.16.2','2.16.2.5'
'22803','2','2.16','2.16.2','2.16.2.5'
'22804','2','2.16','2.16.2','2.16.2.5'
'22809','2','2.16','2.16.2','2.16.2.5'
'2281 ','2','2.16','2.16.2','2.16.2.5'
'2290 ','2','2.16','2.16.2','2.16.2.5'
'2298 ','2','2.16','2.16.2','2.16.2.5'
'2299 ','2','2.16','2.16.2','2.16.2.5'
'24200','3','3.1','3.1.1',' '
'24201','3','3.1','3.1.1',' '
'24210','3','3.1','3.1.1',' '
'24211','3','3.1','3.1.1',' '
'24220','3','3.1','3.1.1',' '
'24221','3','3.1','3.1.1',' '
'24230','3','3.1','3.1.1',' '
'24231','3','3.1','3.1.1',' '
'24240','3','3.1','3.1.1',' '
'24241','3','3.1','3.1.1',' '
'24280','3','3.1','3.1.1',' '
'24281','3','3.1','3.1.1',' '
'24290','3','3.1','3.1.1',' '
'24291','3','3.1','3.1.1',' '
'2400 ','3','3.1','3.1.2',' '
'2409 ','3','3.1','3.1.2',' '
'2410 ','3','3.1','3.1.2',' '
'2411 ','3','3.1','3.1.2',' '
'2419 ','3','3.1','3.1.2',' '
'243  ','3','3.1','3.1.2',' '
'2440 ','3','3.1','3.1.2',' '
'2441 ','3','3.1','3.1.2',' '
'2442 ','3','3.1','3.1.2',' '
'2443 ','3','3.1','3.1.2',' '
'2448 ','3','3.1','3.1.2',' '
'2449 ','3','3.1','3.1.2',' '
'2450 ','3','3.1','3.1.2',' '
'2451 ','3','3.1','3.1.2',' '
'2452 ','3','3.1','3.1.2',' '
'2453 ','3','3.1','3.1.2',' '
'2454 ','3','3.1','3.1.2',' '
'2458 ','3','3.1','3.1.2',' '
'2459 ','3','3.1','3.1.2',' '
'2460 ','3','3.1','3.1.2',' '
'2461 ','3','3.1','3.1.2',' '
'2462 ','3','3.1','3.1.2',' '
'2463 ','3','3.1','3.1.2',' '
'2468 ','3','3.1','3.1.2',' '
'2469 ','3','3.1','3.1.2',' '
'7945 ','3','3.1','3.1.2',' '
'24900','3','3.2',' ',' '
'25000','3','3.2',' ',' '
'25001','3','3.2',' ',' '
'7902 ','3','3.2',' ',' '
'79021','3','3.2',' ',' '
'79022','3','3.2',' ',' '
'79029','3','3.2',' ',' '
'7915 ','3','3.2',' ',' '
'7916 ','3','3.2',' ',' '
'V4585','3','3.2',' ',' '
'V5391','3','3.2',' ',' '
'V6546','3','3.2',' ',' '
'24901','3','3.3','3.3.1',' '
'24910','3','3.3','3.3.1',' '
'24911','3','3.3','3.3.1',' '
'25002','3','3.3','3.3.1',' '
'25003','3','3.3','3.3.1',' '
'25010','3','3.3','3.3.1',' '
'25011','3','3.3','3.3.1',' '
'25012','3','3.3','3.3.1',' '
'25013','3','3.3','3.3.1',' '
'24940','3','3.3','3.3.2',' '
'24941','3','3.3','3.3.2',' '
'25040','3','3.3','3.3.2',' '
'25041','3','3.3','3.3.2',' '
'25042','3','3.3','3.3.2',' '
'25043','3','3.3','3.3.2',' '
'24950','3','3.3','3.3.3',' '
'24951','3','3.3','3.3.3',' '
'25050','3','3.3','3.3.3',' '
'25051','3','3.3','3.3.3',' '
'25052','3','3.3','3.3.3',' '
'25053','3','3.3','3.3.3',' '
'24960','3','3.3','3.3.4',' '
'24961','3','3.3','3.3.4',' '
'25060','3','3.3','3.3.4',' '
'25061','3','3.3','3.3.4',' '
'25062','3','3.3','3.3.4',' '
'25063','3','3.3','3.3.4',' '
'24970','3','3.3','3.3.5',' '
'24971','3','3.3','3.3.5',' '
'25070','3','3.3','3.3.5',' '
'25071','3','3.3','3.3.5',' '
'25072','3','3.3','3.3.5',' '
'25073','3','3.3','3.3.5',' '
'24990','3','3.3','3.3.6',' '
'24991','3','3.3','3.3.6',' '
'25090','3','3.3','3.3.6',' '
'25091','3','3.3','3.3.6',' '
'24920','3','3.3','3.3.7',' '
'24921','3','3.3','3.3.7',' '
'24930','3','3.3','3.3.7',' '
'24931','3','3.3','3.3.7',' '
'24980','3','3.3','3.3.7',' '
'24981','3','3.3','3.3.7',' '
'25020','3','3.3','3.3.7',' '
'25021','3','3.3','3.3.7',' '
'25022','3','3.3','3.3.7',' '
'25023','3','3.3','3.3.7',' '
'25030','3','3.3','3.3.7',' '
'25031','3','3.3','3.3.7',' '
'25032','3','3.3','3.3.7',' '
'25033','3','3.3','3.3.7',' '
'25080','3','3.3','3.3.7',' '
'25081','3','3.3','3.3.7',' '
'25082','3','3.3','3.3.7',' '
'25083','3','3.3','3.3.7',' '
'25092','3','3.3','3.3.7',' '
'25093','3','3.3','3.3.7',' '
'2510 ','3','3.4',' ',' '
'2511 ','3','3.4',' ',' '
'2512 ','3','3.4',' ',' '
'2513 ','3','3.4',' ',' '
'2514 ','3','3.4',' ',' '
'2515 ','3','3.4',' ',' '
'2518 ','3','3.4',' ',' '
'2519 ','3','3.4',' ',' '
'2520 ','3','3.4',' ',' '
'25200','3','3.4',' ',' '
'25201','3','3.4',' ',' '
'25202','3','3.4',' ',' '
'25208','3','3.4',' ',' '
'2521 ','3','3.4',' ',' '
'2528 ','3','3.4',' ',' '
'2529 ','3','3.4',' ',' '
'2530 ','3','3.4',' ',' '
'2531 ','3','3.4',' ',' '
'2532 ','3','3.4',' ',' '
'2533 ','3','3.4',' ',' '
'2534 ','3','3.4',' ',' '
'2535 ','3','3.4',' ',' '
'2536 ','3','3.4',' ',' '
'2537 ','3','3.4',' ',' '
'2538 ','3','3.4',' ',' '
'2539 ','3','3.4',' ',' '
'2540 ','3','3.4',' ',' '
'2541 ','3','3.4',' ',' '
'2548 ','3','3.4',' ',' '
'2549 ','3','3.4',' ',' '
'2550 ','3','3.4',' ',' '
'2551 ','3','3.4',' ',' '
'25510','3','3.4',' ',' '
'25511','3','3.4',' ',' '
'25512','3','3.4',' ',' '
'25513','3','3.4',' ',' '
'25514','3','3.4',' ',' '
'2552 ','3','3.4',' ',' '
'2553 ','3','3.4',' ',' '
'2554 ','3','3.4',' ',' '
'25541','3','3.4',' ',' '
'25542','3','3.4',' ',' '
'2555 ','3','3.4',' ',' '
'2556 ','3','3.4',' ',' '
'2558 ','3','3.4',' ',' '
'2559 ','3','3.4',' ',' '
'2560 ','3','3.4',' ',' '
'2561 ','3','3.4',' ',' '
'2562 ','3','3.4',' ',' '
'2563 ','3','3.4',' ',' '
'2564 ','3','3.4',' ',' '
'2568 ','3','3.4',' ',' '
'2569 ','3','3.4',' ',' '
'2570 ','3','3.4',' ',' '
'2571 ','3','3.4',' ',' '
'2572 ','3','3.4',' ',' '
'2578 ','3','3.4',' ',' '
'2579 ','3','3.4',' ',' '
'2580 ','3','3.4',' ',' '
'25801','3','3.4',' ',' '
'2581 ','3','3.4',' ',' '
'2588 ','3','3.4',' ',' '
'2589 ','3','3.4',' ',' '
'2590 ','3','3.4',' ',' '
'2591 ','3','3.4',' ',' '
'2592 ','3','3.4',' ',' '
'2593 ','3','3.4',' ',' '
'2594 ','3','3.4',' ',' '
'2595 ','3','3.4',' ',' '
'25950','3','3.4',' ',' '
'25951','3','3.4',' ',' '
'25952','3','3.4',' ',' '
'2598 ','3','3.4',' ',' '
'2599 ','3','3.4',' ',' '
'7946 ','3','3.4',' ',' '
'2639 ','3','3.5','3.5.1',' '
'260  ','3','3.5','3.5.2',' '
'261  ','3','3.5','3.5.2',' '
'262  ','3','3.5','3.5.2',' '
'2630 ','3','3.5','3.5.2',' '
'2631 ','3','3.5','3.5.2',' '
'2632 ','3','3.5','3.5.2',' '
'2638 ','3','3.5','3.5.2',' '
'2640 ','3','3.5','3.5.2',' '
'2641 ','3','3.5','3.5.2',' '
'2642 ','3','3.5','3.5.2',' '
'2643 ','3','3.5','3.5.2',' '
'2644 ','3','3.5','3.5.2',' '
'2645 ','3','3.5','3.5.2',' '
'2646 ','3','3.5','3.5.2',' '
'2647 ','3','3.5','3.5.2',' '
'2648 ','3','3.5','3.5.2',' '
'2649 ','3','3.5','3.5.2',' '
'2650 ','3','3.5','3.5.2',' '
'2651 ','3','3.5','3.5.2',' '
'2652 ','3','3.5','3.5.2',' '
'2660 ','3','3.5','3.5.2',' '
'2661 ','3','3.5','3.5.2',' '
'2662 ','3','3.5','3.5.2',' '
'2669 ','3','3.5','3.5.2',' '
'267  ','3','3.5','3.5.2',' '
'2680 ','3','3.5','3.5.2',' '
'2681 ','3','3.5','3.5.2',' '
'2682 ','3','3.5','3.5.2',' '
'2689 ','3','3.5','3.5.2',' '
'2690 ','3','3.5','3.5.2',' '
'2691 ','3','3.5','3.5.2',' '
'2692 ','3','3.5','3.5.2',' '
'2693 ','3','3.5','3.5.2',' '
'2698 ','3','3.5','3.5.2',' '
'2699 ','3','3.5','3.5.2',' '
'7994 ','3','3.5','3.5.2',' '
'V121 ','3','3.5','3.5.2',' '
'2720 ','3','3.6',' ',' '
'2721 ','3','3.6',' ',' '
'2722 ','3','3.6',' ',' '
'2723 ','3','3.6',' ',' '
'2724 ','3','3.6',' ',' '
'2740 ','3','3.7',' ',' '
'27400','3','3.7',' ',' '
'27401','3','3.7',' ',' '
'27402','3','3.7',' ',' '
'27403','3','3.7',' ',' '
'27410','3','3.7',' ',' '
'27411','3','3.7',' ',' '
'27419','3','3.7',' ',' '
'27481','3','3.7',' ',' '
'27482','3','3.7',' ',' '
'27489','3','3.7',' ',' '
'2749 ','3','3.7',' ',' '
'71210','3','3.7',' ',' '
'71211','3','3.7',' ',' '
'71212','3','3.7',' ',' '
'71213','3','3.7',' ',' '
'71214','3','3.7',' ',' '
'71215','3','3.7',' ',' '
'71216','3','3.7',' ',' '
'71217','3','3.7',' ',' '
'71218','3','3.7',' ',' '
'71219','3','3.7',' ',' '
'71220','3','3.7',' ',' '
'71221','3','3.7',' ',' '
'71222','3','3.7',' ',' '
'71223','3','3.7',' ',' '
'71224','3','3.7',' ',' '
'71225','3','3.7',' ',' '
'71226','3','3.7',' ',' '
'71227','3','3.7',' ',' '
'71228','3','3.7',' ',' '
'71229','3','3.7',' ',' '
'71230','3','3.7',' ',' '
'71231','3','3.7',' ',' '
'71232','3','3.7',' ',' '
'71233','3','3.7',' ',' '
'71234','3','3.7',' ',' '
'71235','3','3.7',' ',' '
'71236','3','3.7',' ',' '
'71237','3','3.7',' ',' '
'71238','3','3.7',' ',' '
'71239','3','3.7',' ',' '
'71280','3','3.7',' ',' '
'71281','3','3.7',' ',' '
'71282','3','3.7',' ',' '
'71283','3','3.7',' ',' '
'71284','3','3.7',' ',' '
'71285','3','3.7',' ',' '
'71286','3','3.7',' ',' '
'71287','3','3.7',' ',' '
'71288','3','3.7',' ',' '
'71289','3','3.7',' ',' '
'71290','3','3.7',' ',' '
'71291','3','3.7',' ',' '
