code,multi_1,multi_2,multi_3,multi_4
'01641','1','1.1','1.1.1',' '
'01642','1','1.1','1.1.1',' '
'01643','1','1.1','1.1.1',' '
'01644','1','1.1','1.1.1',' '
'01645','1','1.1','1.1.1',' '
'01646','1','1.1','1.1.1',' '
'01650','1','1.1','1.1.1',' '
'01651','1','1.1','1.1.1',' '
'01652','1','1.1','1.1.1',' '
'01653','1','1.1','1.1.1',' '
'01654','1','1.1','1.1.1',' '
'01655','1','1.1','1.1.1',' '
'01656','1','1.1','1.1.1',' '
'01660','1','1.1','1.1.1',' '
'01661','1','1.1','1.1.1',' '
'01662','1','1.1','1.1.1',' '
'01663','1','1.1','1.1.1',' '
'01664','1','1.1','1.1.1',' '
'01665','1','1.1','1.1.1',' '
'01666','1','1.1','1.1.1',' '
'01670','1','1.1','1.1.1',' '
'01671','1','1.1','1.1.1',' '
'01672','1','1.1','1.1.1',' '
'01673','1','1.1','1.1.1',' '
'01674','1','1.1','1.1.1',' '
'01675','1','1.1','1.1.1',' '
'01676','1','1.1','1.1.1',' '
'01690','1','1.1','1.1.1',' '
'01691','1','1.1','1.1.1',' '
'01692','1','1.1','1.1.1',' '
'01693','1','1.1','1.1.1',' '
'01694','1','1.1','1.1.1',' '
'01695','1','1.1','1.1.1',' '
'01696','1','1.1','1.1.1',' '
'01700','1','1.1','1.1.1',' '
'01701','1','1.1','1.1.1',' '
'01702','1','1.1','1.1.1',' '
'01703','1','1.1','1.1.1',' '
'01704','1','1.1','1.1.1',' '
'01705','1','1.1','1.1.1',' '
'01706','1','1.1','1.1.1',' '
'01710','1','1.1','1.1.1',' '
'01711','1','1.1','1.1.1',' '
'01712','1','1.1','1.1.1',' '
'01713','1','1.1','1.1.1',' '
'01714','1','1.1','1.1.1',' '
'01715','1','1.1','1.1.1',' '
'01716','1','1.1','1.1.1',' '
'01720','1','1.1','1.1.1',' '
'01721','1','1.1','1.1.1',' '
'01722','1','1.1','1.1.1',' '
'01723','1','1.1','1.1.1',' '
'01724','1','1.1','1.1.1',' '
'01725','1','1.1','1.1.1',' '
'01726','1','1.1','1.1.1',' '
'01730','1','1.1','1.1.1',' '
'01731','1','1.1','1.1.1',' '
'01732','1','1.1','1.1.1',' '
'01733','1','1.1','1.1.1',' '
'01734','1','1.1','1.1.1',' '
'01735','1','1.1','1.1.1',' '
'01736','1','1.1','1.1.1',' '
'01740','1','1.1','1.1.1',' '
'01741','1','1.1','1.1.1',' '
'01742','1','1.1','1.1.1',' '
'01743','1','1.1','1.1.1',' '
'01744','1','1.1','1.1.1',' '
'01745','1','1.1','1.1.1',' '
'01746','1','1.1','1.1.1',' '
'01750','1','1.1','1.1.1',' '
'01751','1','1.1','1.1.1',' '
'01752','1','1.1','1.1.1',' '
'01753','1','1.1','1.1.1',' '
'01754','1','1.1','1.1.1',' '
'01755','1','1.1','1.1.1',' '
'01756','1','1.1','1.1.1',' '
'01760','1','1.1','1.1.1',' '
'01761','1','1.1','1.1.1',' '
'01762','1','1.1','1.1.1',' '
'01763','1','1.1','1.1.1',' '
'01764','1','1.1','1.1.1',' '
'01765','1','1.1','1.1.1',' '
'01766','1','1.1','1.1.1',' '
'01770','1','1.1','1.1.1',' '
'01771','1','1.1','1.1.1',' '
'01772','1','1.1','1.1.1',' '
'01773','1','1.1','1.1.1',' '
'01774','1','1.1','1.1.1',' '
'01775','1','1.1','1.1.1',' '
'01776','1','1.1','1.1.1',' '
'01780','1','1.1','1.1.1',' '
'01781','1','1.1','1.1.1',' '
'01782','1','1.1','1.1.1',' '
'01783','1','1.1','1.1.1',' '
'01784','1','1.1','1.1.1',' '
'01785','1','1.1','1.1.1',' '
'01786','1','1.1','1.1.1',' '
'01790','1','1.1','1.1.1',' '
'01791','1','1.1','1.1.1',' '
'01792','1','1.1','1.1.1',' '
'01793','1','1.1','1.1.1',' '
'01794','1','1.1','1.1.1',' '
'01795','1','1.1','1.1.1',' '
'01796','1','1.1','1.1.1',' '
'01800','1','1.1','1.1.1',' '
'01801','1','1.1','1.1.1',' '
'01802','1','1.1','1.1.1',' '
'01803','1','1.1','1.1.1',' '
'01804','1','1.1','1.1.1',' '
'01805','1','1.1','1.1.1',' '
'01806','1','1.1','1.1.1',' '
'01880','1','1.1','1.1.1',' '
'01881','1','1.1','1.1.1',' '
'01882','1','1.1','1.1.1',' '
'01883','1','1.1','1.1.1',' '
'01884','1','1.1','1.1.1',' '
'01885','1','1.1','1.1.1',' '
'01886','1','1.1','1.1.1',' '
'01890','1','1.1','1.1.1',' '
'01891','1','1.1','1.1.1',' '
'01892','1','1.1','1.1.1',' '
'01893','1','1.1','1.1.1',' '
'01894','1','1.1','1.1.1',' '
'01895','1','1.1','1.1.1',' '
'01896','1','1.1','1.1.1',' '
'1370 ','1','1.1','1.1.1',' '
'1371 ','1','1.1','1.1.1',' '
'1372 ','1','1.1','1.1.1',' '
'1373 ','1','1.1','1.1.1',' '
'1374 ','1','1.1','1.1.1',' '
'V1201','1','1.1','1.1.1',' '
'0380 ','1','1.1','1.1.2','1.1.2.1'
